massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row31	143.0454	298.15	0.007735734143867557	-8.91520298864299	
row32	143.0454	314.96	0.02200657770130207	-6.112961772292227	
row33	111.9853	132.69	0.15232580571621898	-2.627294524448817	C3H6Cl2
row34	143.0535	147.17	0.3832883903756565	1.3464904749339068	C7H12OS,C7H14O2S,C7H14O2S
row35	143.0535	150.74	0.8248790871896836	-0.3500062326330358	C7H12OS,C7H14O2S,C7H14O2S
row36	143.0535	152.45	0.5806572544501988	0.8495182571775391	C7H12OS,C7H14O2S,C7H14O2S
row37	143.0535	155.89	0.020580320435379277	6.251897540515333	C7H12OS,C7H14O2S,C7H14O2S
row38	112.9362	346.74	0.06575438074701297	-3.9103262254957785	
row39	73.9954	116.41	0.9119363904897035	0.17413971665533345	
row40	171.0195	164.46	0.5638199984482754	-0.8816594850647896	C9H6N2O3
row41	171.0195	227.54	0.9142206272690625	0.16993084834343172	C9H6N2O3
row42	171.0195	235.16	0.2732543702346801	1.7614786596905028	C9H6N2O3
row43	75.0066	102.1	0.9264108387159625	0.1465902173294169	
row44	143.9007	346.74	0.24762329066058222	1.9042590331052915	
row45	171.0405	234.76	0.8801029498204085	0.23570935257586115	C6H8N2O4,C6H10N2O5
row46	171.0405	239.91	0.9715811861917728	-0.05747035108578374	C6H8N2O4,C6H10N2O5
row47	171.0479	32.33	0.9187501487961987	0.16280819183507425	C8H14O3S,C6H9N3OS
row48	113.9356	346.6	0.08820531173838776	-3.428851409433834	
row49	171.0558	26.91	0.03604414604698382	-5.0098793621679185	C10H10N2O2,C10H8N2O,C8H5N5
row50	143.9777	201.61	0.031895695363393074	5.275282302970807	
row51	171.0657	191.97	0.9792047238396657	-0.043498094784475305	C8H14O5,C8H12O4,C6H9N3O3
row52	143.9904	222.26	0.002914765594667302	12.680487883005899	
row53	171.0769	292.24	0.40822433744238773	-1.2748087416700349	C7H12N2O3,C7H14N2O4
row54	171.5435	297.23	0.09401550496123112	-3.33307374816097	
row55	171.8736	9.74	0.49592713949885847	1.0497779541162497	
row56	171.8736	106.96	0.5195325947452958	0.9899859160759125	
row57	171.8736	113.52	0.2728902738509806	1.766557953888404	
row58	171.8736	125.34	0.24762329066058222	1.9050143239427446	
row59	114.932	346.87	0.06604560620054209	-3.900606718973984	
row60	144.0293	212.15	0.11662956088372119	-3.0069824312919917	
row61	78.9565	324.41	0.7796259400373317	-0.43978586443724443	
row62	78.9565	326.65	0.6760605335948705	0.643876160876867	
row63	78.9565	329.4	0.6264995933325165	0.7478943649304293	
row64	144.0446	26.12	0.0010142147126017363	-19.035145436134826	C6H8O4
row65	144.0738	34.95	0.9427150151102069	0.11247738188598756	
row66	115.0027	297.76	0.00011175766142699065	-44.55762310775791	
row67	144.8687	135.32	0.8368976452004243	0.3188602448910895	CaCl2
row68	144.8687	149.93	0.041756595496255385	4.683065166513312	CaCl2
row69	172.0355	267.29	0.8741223448782645	0.25197939898856947	C6H6N2O4
row70	144.9724	201.61	0.03640062971423654	4.980452004431728	C2H6O3S
row71	172.0398	28.62	0.08360650052338864	-3.523181100857837	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
row72	80.9641	34.43	0.24188903763005784	1.9966702619943586	
row73	144.9783	201.61	0.1481993225764268	2.667411049678374	C5H6OS2
row74	172.069	192.36	0.42491610379941697	-1.2275721532905355	C8H12O4
row75	82.9531	34.82	0.2864842419670459	-1.6880926701217416	
row76	82.9531	191.71	0.7793682200131165	0.4407864627506922	
row77	172.5373	267.29	0.8572754871431817	0.28465424294264036	
row78	172.8276	1.56	0.6349981041492873	0.7290723403156426	
row79	115.0584	222.26	0.0017676206715059183	-15.458589081043675	C6H14OS,C6H12S,C6H12S
row80	172.8417	135.58	0.7411389326462997	0.5130637922311305	
row81	172.8417	150.06	0.1590463342658206	-2.5543996293299593	
row82	116.0028	135.58	0.5139312731131644	-1.0084975628104065	
row83	116.0028	149.8	0.4964262903579901	1.048297046518426	
row84	146.0531	210.97	0.6044567136704105	-0.7980730001296632	
row85	116.0061	297.63	7.278521737190039e-05	-53.47801623094349	
