massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row100	148.0063	273.99	0.7031775629432593	2.7500093000965804	
row101	87.0441	192.1	0.9632803899118513	0.12315261465461741	
row102	173.5351	267.43	0.8584451133374564	0.3875343370254614	
row103	173.8419	135.85	0.7206050370928386	-1.3185760928276564	
row104	173.8419	150.19	0.7031775629432593	2.4040060234815135	
row105	117.0677	210.31	0.7260893858396382	-0.8812675277183832	
row106	117.074	210.31	0.7260893858396382	-0.8567459042562462	C6H14S
row107	173.994	25.59	0.943109336067964	-0.1762937508491831	C6H6O4S,C6H6O4S
row108	173.994	27.44	0.7206050370928386	-1.29343611871727	C6H6O4S,C6H6O4S
row109	174.0013	223.44	0.7206050370928386	-1.3175542368230773	
row110	148.8628	135.06	0.9565819119122961	-0.13733570431594883	
row111	174.0114	254.89	0.7925143610661874	0.5660656442938939	C7H7FO2S
row112	174.0114	259.25	0.7031775629432593	-1.7839418774292173	C7H7FO2S
row113	149.0001	28.22	0.8659921466344043	-0.37473785128146814	C5H6O3
row114	149.0336	132.43	0.7206050370928386	-1.0593043891955922	C5H11NS2,C4H7NO5,C5H11NS2,C5H3N5O,C5H6N5O2
row115	118.0746	210.31	0.8363458184372865	-0.4566968524616425	C4H10N2O2
row116	149.0462	189.84	0.7031775629432593	1.5610787517349134	C5H10O5,C6H6N4O,C6H14S2
row117	149.0462	191.05	0.7693491973162457	0.6438266031076162	C5H10O5,C6H6N4O,C6H14S2
row118	174.0552	27.3	0.7260893858396382	-0.8814492461945532	C10H9NO2,C10H11NO3,C5H9N5
row119	89.0413	192.5	0.7031775629432593	1.78155532198335	
row120	149.0599	34.69	0.8430442103367428	0.43540258496294143	
row121	89.0427	249.11	0.8746195579809481	-0.34344971536014424	C4H10S
row122	174.8389	135.58	0.7260893858396382	-0.8312980108879252	
row123	174.8389	150.06	0.7206050370928386	1.482326187207808	
row124	174.8643	1.7	0.7420504764554492	0.7370474660130494	
row125	174.9637	134.93	0.9632803899118513	-0.12280014325074999	
row126	174.9637	145.86	0.7031775629432593	1.5827781218695207	
row127	174.9865	25.73	0.8116245216288375	-0.520465303373866	
row128	174.9865	27.57	0.7417395975264589	-0.7384741249336719	
row129	150.0221	265.85	0.8196373848758749	-0.5062330040211508	
row130	175.0353	318.24	0.7031775629432593	3.639066595147955	C5H8N2O5,C8H12S
row131	119.0491	198.3	0.7206050370928386	1.4207165344656656	C6H5N3
