	Pellets_1_HILICneg	Pellets_10_HILICneg	Pellets_11_HILICneg	Pellets_12_HILICneg	Pellets_13_HILICneg	Pellets_14_HILICneg	Pellets_15_HILICneg	Pellets_16_HILICneg	Pellets_17_HILICneg	Pellets_18_HILICneg	Pellets_19_HILICneg	Pellets_2_HILICneg	Pellets_20_HILICneg	Pellets_21_HILICneg	Pellets_22_HILICneg	Pellets_23_HILICneg	Pellets_24_HILICneg	Pellets_25_HILICneg	Pellets_26_HILICneg	Pellets_27_HILICneg	Pellets_28_HILICneg	Pellets_29_HILICneg	Pellets_3_HILICneg	Pellets_30_HILICneg	Pellets_31_HILICneg	Pellets_32_HILICneg	Pellets_33_HILICneg	Pellets_34_HILICneg	Pellets_35_HILICneg	Pellets_36_HILICneg	Pellets_37_HILICneg	Pellets_38_HILICneg	Pellets_39_HILICneg	Pellets_4_HILICneg	Pellets_40_HILICneg	Pellets_41_HILICneg	Pellets_42_HILICneg	Pellets_43_HILICneg	Pellets_44_HILICneg	Pellets_45_HILICneg	Pellets_46_HILICneg	Pellets_47_HILICneg	Pellets_48_HILICneg	Pellets_49_HILICneg	Pellets_5_HILICneg	Pellets_50_HILICneg	Pellets_51_HILICneg	Pellets_52_HILICneg	Pellets_53_HILICneg	Pellets_54_HILICneg	Pellets_6_HILICneg	Pellets_7_HILICneg	Pellets_8_HILICneg	Pellets_9_HILICneg	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
5532	27159246.444213152	28127094.278167237	29524509.70663446	44360682.76441612	21190231.34594451	19840694.091075715	51677201.105967976	56388185.145358816	22349230.786430225	10758799.31727481	44175875.50157793	44384660.18043083	70115554.02984981	80323796.79825984	42463469.44509537	70850012.11251877	32297442.75554297	204076645.28734043	75405047.83134012	46386183.77475512	60223616.20527387	56371977.71714954	33732113.73452918	78518765.49539115	106831218.36907153	145691215.25640738	56340830.972847514	115130930.7609649	81464573.37001313	68393942.50432335	47601647.31391067	47665780.00440307	29732619.235676914	38902120.67864037	107899429.95334762	62030757.67026513	33067772.24890097	0.0	57721511.64397118	76294967.03840652	22489856.733952887	41507726.23088926	54610910.25615	44734234.75262932	68351657.76519997	57528773.15571103	109605558.43050636	38055067.72829395	77041572.87714608	45822643.30556174	24116512.268726997	21659810.85834399	28871718.81568798	30061970.694887616	F36990	347.1716	24.87	23.29	26.45	10618.0	1014101918.0	1.0	0.92	15.0	61.0	0.9814814814814815	False
5536	12958694.46828416	12359432.317160053	8227498.443800925	5911777.438011249	3000501.2719185515	9116722.106414711	16680856.802028589	4135073.4445767086	7782869.3164622495	2606286.279134462	0.0	14475118.444478098	0.0	25189724.057403322	25977241.695629098	16668027.762866385	0.0	13809484.230719892	20985398.88614144	18940008.12657234	11212782.186844364	4852995.319713136	0.0	405970.75743359106	5823114.968266783	15960781.997382002	24724221.342288442	24067585.91362382	22639364.59827669	14630850.495081538	11744377.956547469	4702013.509059312	5012492.183955644	20876069.197564885	24848998.615608513	21295470.675107785	5009896.754314559	9957445.397149546	0.0	7634479.5115441745	4457932.898074308	0.0	3520984.938708642	12915745.567929994	20685862.248561572	13890702.600093327	10786827.193489837	5634718.0352275465	12186378.186282119	3379898.7850987567	6303899.927893199	6032013.627035606	0.0	10851269.69438645	F37002	317.1186	194.96	193.38	196.4	9223.0	708752907.0	1.0	0.98	267.0	50.0	0.8703703703703703	False
5537	14245821.069540711	16467405.506983131	13076239.453681571	17054067.56308704	5473506.406247879	5194385.7416261565	8879109.250526387	7795160.9601983195	5212283.276136971	5026066.841959811	6943164.906190642	13742785.055127388	10546624.739553059	11314530.043715939	9497703.21701223	9175775.203617569	3605285.464814835	0.0	5427285.498048106	6538552.5485622985	248595.36080578124	5668741.02153129	12693690.74767731	4019958.9584927396	1401218.8766402917	5235902.7172546	5256272.90431092	2810939.092830863	3893833.096204222	1326381.1445647236	3799528.4371867897	0.0	1375304.0196182234	5745546.981628268	0.0	3348477.9028226365	0.0	4720123.661411258	3212272.2038033865	2366383.9259002036	392407.39395602734	1822798.7330673353	0.0	6242315.823832483	4768075.864636933	5019030.009992512	6671695.183101129	1775553.45089259	5244001.973243025	6056227.911909129	4762885.957199527	12127360.759196362	13437892.870381497	16656491.87710926	F37004	317.1186	319.2	317.62	320.77	9223.0	551423673.0	1.0	0.98	30479.0	54.0	0.9074074074074074	False
5551	1826804.62422718	1940718.8261845927	1404917.469085629	2265827.935284402	1021519.1409565912	966242.1587030204	1824397.8869969489	2081037.7021926958	933570.0919653181	558486.9887559072	2511836.3944757157	2323209.314987406	4301494.883541552	3577094.6579755223	2595200.4950849307	3374581.4187503485	2010150.5439152222	6711058.03409963	3659390.5829177927	2769580.085267989	3266465.065482179	1973614.2005665468	1817804.2690125895	3294449.7075615823	5048402.202049535	5614480.225677876	3869990.3445454407	4859486.09330767	5367615.4735251395	3306424.3907968337	2694877.236017606	3663871.075478883	2824967.018353035	2961301.9211321673	6664119.480417119	4617435.95687023	2904778.693519744	569105.4200471346	3934198.3359187427	4139047.8556083725	2892704.0073155323	2325900.9035279495	3621924.906652525	3343970.681357071	3242735.477330456	3880598.462267271	3953395.7426559688	2948470.3220673106	3549508.331011357	3224666.0657097585	1976114.4698933451	1602729.8557554418	1876592.1284309877	0.0	F37055	317.1608	27.37	26.32	28.94	9229.0	178983931.0	1.0	0.97	2474.0	56.0	0.9814814814814815	False
5563	6395137.892646977	7663743.909707693	8894292.41175188	11031049.252132643	10398807.901471218	9743352.121438246	9001104.212944996	6538129.303277065	9038957.851429425	8485033.048838329	3682844.4035198875	8027177.690086983	5627942.688087262	5659813.728578421	6359207.307094182	6672207.459379286	5630667.0481639365	2243941.065630353	1560880.6267811828	6003157.557062305	3632123.211225462	6576338.165312675	5700820.8389332155	3746186.43396236	4595215.477078122	5445628.266703807	5246466.616632452	4798061.493683637	6028926.4611514425	4377952.420390042	3992767.8731144597	4985629.375484478	6725643.74655745	9090433.618782703	5119050.888090413	6119285.444924289	6877326.449413468	6076775.418513057	7146060.136015129	4966353.685970672	3965893.0989206266	5733613.34624959	7851721.506531408	2029102.7578604415	8237620.369631887	2035911.6745398596	6104912.15912598	331792.7042450257	5350323.70526705	3145322.58113563	11435300.328143887	6492281.736257768	6640658.614628552	9461381.98547055	F37138	357.0619	165.43	163.85	167.03	11061.0	488363691.0	1.0	0.98	753.0	57.0	1.0	False
5564	1336920.2054856094	1369541.8945590402	1806298.6207719482	2394706.9979544296	1717798.2375488346	1550703.5799692557	1551504.6052104789	215205.58958274798	1319216.1127694487	1406348.4822535147	773890.4881010945	1365081.1938545613	229369.17750043713	915395.8699431386	991545.5684669322	589096.1981381594	298838.89744067105	122102.22784765776	223954.79691105214	1040617.2700970059	505776.52015541145	215180.19437526143	1324982.1806735697	808508.0839670085	142796.3022523357	481637.35640400916	608798.3681267056	136955.84334418035	834935.566039953	234591.1104948764	96751.23139372369	693068.3482626558	620425.5439693865	1236967.8524813836	525422.4980348564	649498.879528848	591418.6354791404	404915.80989888485	1276459.5747798714	1071799.7945003686	468700.2082819663	769605.5050082615	757401.6961568481	656054.7203866497	1912063.3297817549	862901.0064391964	450235.30982262525	5348495.966039928	1113449.2482617027	243686.12539650095	2087617.3771527966	1933290.4983304623	2158095.9624340096	1334245.6123754494	F37139	357.0619	169.92	168.35	171.5	11061.0	93857366.0	0.74	0.92	93.0	57.0	1.0	False
5569	9604765.5640921	10756462.980885126	13351584.953585884	11250759.492474908	13523500.91300933	12634620.190427713	8375333.533520137	9511124.22136952	12149416.860261055	8512044.668429751	12737790.038734416	10061466.786450263	14430546.472008748	11632406.13099255	11932394.072056323	15051744.467638005	9137189.742897	14964484.806397429	15900033.989550432	13477498.907079339	11730513.801139116	9633205.693736224	7138581.690880918	6480660.473220936	371416.1781908039	10681864.95406497	14751564.756407855	10409685.568441823	20444224.997479215	15666923.432552777	6053240.910628891	13237147.460373817	14429060.478751402	20117074.50801861	25857052.39613371	18204088.388612572	1996053.6037666192	8475359.08979349	4620854.797345681	4252988.8417184865	0.0	2672305.54676908	0.0	0.0	9594282.793548636	6692574.098620846	13096036.017086254	1155440.2293314696	4482724.878157846	5550844.338027027	16308488.182223717	7869901.811098374	10387121.74548157	7145814.631106464	F37190	317.4688	420.78	419.17	422.36	9238.0	734387718.0	0.92	0.98	3843.0	54.0	0.9444444444444444	False
5585	107692055.8150476	106660982.9266282	121101461.47554854	140558477.46281904	126138053.97102322	102084482.43168916	165002330.5282436	113539512.54034586	116776737.08046593	115097482.61222355	306289025.9557388	161156999.39824915	297182754.71034825	382521700.6578085	271050481.60389686	323396271.47052103	364878493.1060013	377534506.0922473	282434047.67474806	317193412.4491322	385169034.54490197	387679690.83607644	177765933.5129392	423768459.7494665	409088727.9552744	426930532.1780996	324459563.17092663	541915711.2241944	384369271.7199307	348444666.27112585	370323291.7599715	342796404.10877925	378409992.31387943	146183801.1274401	409654045.87907505	356745563.1521343	341587968.9837114	284619494.19429946	314573568.58499366	262790985.68079513	327216278.9333313	231779325.99544036	452365500.8440252	262534878.8306781	185652422.90316772	250390208.4907052	0.0	22764827.803481225	256717397.67625833	265740456.40082008	160004488.0254446	120304139.12487179	100107321.44688952	127592419.44655828	F37246	317.8303	153.45	151.87	155.02	9242.0	1524852533.0	1.0	0.93	11.0	59.0	0.9814814814814815	False
5594	12191399.163274806	17069894.69504277	32540447.577486034	25197291.163235657	56293717.77567632	39112409.66441872	14814190.67620978	23141650.338637307	40841549.8466699	57661197.59293062	26185385.707393494	15779197.834945133	19532551.468151238	12157192.54637732	13837841.69103379	16562308.037413126	24987511.327613175	20858494.713506147	29170026.00296867	18248985.791183475	18769780.45333856	29439502.06042934	14632890.903501911	12373856.855414603	14017590.372404702	16054421.585115483	18267360.73218529	13600046.51453208	20433881.77959359	19418431.511975307	28350051.510056153	36749925.63110075	35504877.75884199	23653081.14270651	29356233.129307773	20333080.074563038	30934980.959297676	13778088.146429995	7467490.05343761	5225943.088113607	4572640.715113423	1643299.2919964914	854715.9577748064	18342622.682188615	16765204.404751875	13948005.018030992	17303692.647539083	9864426.476351665	4518527.201855833	10324600.413537685	50685010.34696894	48014668.19552717	38386593.79730582	19603255.61025093	F37299	348.0607	302.78	301.21	304.36	10648.0	1812305995.0	0.71	0.92	24.0	57.0	1.0	False
5616	5595440.355944791	4938186.705509042	5479379.948700861	7957582.907749452	3641685.920384398	2961947.8102779672	9535523.849281793	10720946.233147504	4057107.1055134237	1749932.6864915045	6731686.576071182	8224026.638692364	11762072.17639058	15088014.226373097	7331280.930597992	12555134.55674348	5821216.29114282	37644063.56993205	13951633.497664275	8086914.842878271	11316809.685986467	9117423.533860287	6392242.081887359	14820669.952060921	20067326.40370079	27757181.971792057	10888973.017655632	23169380.83466214	14599144.414214468	12283249.295760717	8809633.257275471	8514750.048078064	5037273.553062566	7068255.145151947	19390650.07025115	11276338.6788301	5576796.638715755	0.0	10369352.546401547	11417156.944399176	3551422.9161286466	7470690.963963114	8570018.997834384	7993306.598870601	12889484.519748287	10724615.34963078	13065982.940781673	6273664.212666176	14544096.290663451	7857849.90046083	4395631.87224456	3861197.45243875	5099602.956445251	5464348.295540514	F37374	348.1742	24.87	23.29	26.45	10657.0	594725030.0	1.0	0.92	86.0	58.0	0.9814814814814815	False
5639	3423706.9230405544	5862970.118095367	3210917.7351407763	4835296.401973589	6006981.072453143	2208472.3604059294	4382344.713284215	4032004.3790450874	4840947.467643719	4061206.1302240966	13043652.46239674	4128818.7492875783	9691886.64511109	9100732.580541303	6293901.753252347	7401915.740173212	11052289.944715783	15693831.018849721	9719554.375002567	8477538.4209387	15446751.29775877	10633663.175104238	4537669.825992492	9617966.807303322	12197807.53444493	11265448.924761163	10195059.034310712	10508238.52879633	15657784.673118118	9197985.435283078	10548790.550235853	12809184.534491573	11540574.037530867	5275032.021632005	12841497.02351263	8597943.505828334	11972554.624921504	0.0	9272255.769193348	8261240.83371128	10119814.20843449	8424986.686632933	27536083.72491089	5003137.850652971	5011295.273547964	6094984.898196841	9412809.300322048	5070919.806440363	8236931.334602319	10188718.158596708	6184739.603352909	4267867.427656419	4330172.10831639	4999092.687111258	F37494	411.2253	25.13	23.82	26.71	13309.0	516730634.0	1.0	0.92	17746.0	58.0	0.9814814814814815	False
5656	12847003.678194737	12531113.182943802	14044884.451165881	14942369.396981867	21581026.192879584	18523693.370043322	12218887.161674777	14446737.614863262	15664221.05281975	24905227.68217101	4755838.488858539	5515711.19836906	4793290.306622429	5610335.742925865	8340465.9321349645	6906769.102941087	11985149.353104731	9427127.509365324	27893948.441897046	7144487.348218459	18115749.6189144	12043441.027949547	12922249.558542496	11743476.844590433	5791101.887406537	7909159.397571195	10349230.69217226	9751072.241036028	6750961.324176979	6438624.235076631	7378164.073999062	6937548.662803112	13831357.055893935	12585175.056269528	6762900.419402655	4850842.156837061	6424114.4915765505	9338125.076166503	5839237.430640151	1403538.064245342	10334665.346120022	0.0	0.0	4181346.6736537484	11909881.529673781	6656576.459305822	8683976.304286756	4054226.4272367745	3104067.5021067695	0.0	19165005.210720047	18977632.968508475	15279475.363092868	12510449.510895643	F37555	386.0337	345.26	343.68	346.83	12316.0	861936971.0	1.0	0.97	20872.0	55.0	0.9444444444444444	False
5693	33709000.64783667	32521018.18210334	31461170.12258203	33540341.428198624	26057664.231038377	30309004.733517326	35934116.06464267	7012983.427279569	30489672.37588781	22644351.860415425	6396058.572582077	40622726.15167145	12694734.573510468	15149215.42710244	23172364.817320585	18643039.87587325	11454351.988363218	0.0	3504832.006155551	8398852.180767851	0.0	4687874.289358549	43417412.77836821	2145793.3679047087	0.0	3553720.882064929	6366983.37401366	1671069.8469868687	4237404.853470761	2283312.031509371	2614588.8794734515	2967491.5939981965	3896604.83050799	38421023.37742822	8155398.935439125	7004344.621977186	4232804.313454885	11852758.89463737	22145921.600766692	18639027.15891716	8373925.614993597	9958830.484795313	10310870.747637883	14573829.33905571	39942668.75716492	14390076.126681436	14871948.492788598	0.0	15834360.265250565	6298072.397466144	33631059.655694395	29483814.70188494	28714509.631507017	32493346.44199764	F37654	318.0611	171.5	169.92	173.07	9268.0	1588323489.0	0.81	0.92	463.0	53.0	0.9259259259259259	False
5730	11723481.00130729	12105158.342349356	13145333.854919087	15756243.693554716	14087932.284432959	11290766.120384792	18635092.731022887	12153859.863247188	12902540.879650982	13208644.071016865	34663173.75935076	18476642.782123893	32718606.540985957	42802795.585018	29862601.760856792	34952324.84724981	39764653.39059328	43058873.39717864	30561160.1865145	35063676.21786675	42699659.006949775	44678678.22582523	20206512.51663235	48600589.32942938	45040624.64595895	48642359.588372126	38059743.10991368	62138225.4401104	43213282.433618896	38369622.293747194	40737108.34793871	36972066.59786143	41688043.009152286	16177527.111361211	45563448.175215624	39555287.287183285	38566910.86287121	32288580.342183884	35185891.492239445	27857155.25866819	36599073.93732931	26776662.808067873	48324216.529875174	28826960.577949814	20520637.031353492	28095191.34248839	0.0	1041837.7922118645	27951813.69560913	30648324.941612054	17675618.02732147	13178013.337814577	10908617.72305772	14700384.981802087	F37869	318.83	153.45	151.87	155.02	9289.0	1512890848.0	1.0	0.93	88.0	58.0	0.9814814814814815	False
5762	17307745.609735284	15118678.861566994	20067116.761598866	14091987.560207915	32514527.267610807	19684806.58920465	8716417.302417396	13958371.37674809	25093304.17929521	50751906.270247884	24767320.711431276	14168282.992846824	22114848.473510705	9915663.195836788	11017910.393443443	18884041.25055856	18491305.456074443	7312874.673013493	8984855.982174061	17661802.24003981	8830526.977768086	27812650.877656776	7672959.608312422	0.0	12052066.227031026	4915937.602322985	10193038.301299876	6391434.199102859	18790396.060244936	17755244.753955062	36421267.66345466	33485140.980284646	28345442.56572641	10214257.875487389	24873348.65218822	18549244.056128852	35155826.34880862	38453877.46971611	41656921.34508133	40240213.88136328	62429978.069056466	46776642.33469538	54833529.13094535	41269030.59184997	4162358.683798247	20811902.06953882	34365876.33688601	38281250.86491685	16149288.643669592	64801218.71226892	17313399.127623167	30940147.883357827	26881993.534449194	10817030.135979071	F38039	412.9995	315.0	313.42	316.57	13362.0	1697804358.0	0.89	0.96	82162.0	56.0	0.9814814814814815	False
