massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row48	171.0405	239.91	0.4551633070478727	-1.072783985778518	C6H8N2O4,C6H10N2O5
row49	171.0479	32.33	0.018589434510917276	7.6458094897883475	C8H14O3S,C6H9N3OS
row50	113.9356	346.6	0.7161736099609173	0.5158416337100028	
row51	171.0558	26.91	0.12631979565756887	2.9620844889286437	C10H10N2O2,C10H8N2O,C8H5N5
row52	143.9777	201.61	0.2607656556044256	1.7718995583700095	
row53	171.0657	191.97	0.014757068826951119	-8.480738849821082	C8H14O5,C8H12O4,C6H9N3O3
row54	143.9904	222.26	0.19929968959808303	2.293254606990348	
row55	171.0769	292.24	0.02964179611671655	-6.29962019569653	C7H12N2O3,C7H14N2O4
row56	171.5435	297.23	0.12402114037776092	2.99717326622059	
row57	77.0144	152.19	0.2987617131641106	1.572929361015876	C4H4N2O,C4H2N2
row58	171.8736	9.74	0.5291234273000394	0.8981712737348112	
row59	114.932	346.87	0.15908330245654428	-2.618436951302962	
row60	144.0293	212.15	0.20256072698867195	-2.2659846770914336	
row61	144.0446	26.12	0.6428596447085665	-0.6558694949343924	C6H8O4
row62	144.0738	34.95	0.2607656556044256	-1.7723515862692234	
row63	144.1021	151.01	0.2840680982431125	1.6387881002394276	
row64	115.0027	297.76	0.0012527407308866843	-23.840205394921668	
row65	144.8687	135.32	0.05516272276859232	-4.748189167244199	CaCl2
row66	144.8687	149.93	0.40623163550662234	-1.2024777787802035	CaCl2
row67	172.0244	237.68	0.23397146281653175	1.999679247687292	C6H9NO6
row68	172.0244	312.07	0.5095165981015425	0.9395466226507665	C6H9NO6
row69	172.0244	314.04	0.35780660628680555	1.342879971161352	C6H9NO6
row70	172.0244	318.11	0.9450226654072182	-0.1001521640794131	C6H9NO6
row71	172.0244	320.6	0.23397146281653175	1.991371846863568	C6H9NO6
row72	115.0147	46.04	0.3150391871744143	1.4883771372579715	C3H6N2O4,C3H4N2O3
row73	115.0147	49.06	0.7425545154137813	0.47017311792679795	C3H6N2O4,C3H4N2O3
row74	172.0355	267.29	0.35409496535289087	1.3531133807484548	C6H6N2O4
row75	144.9724	201.61	0.2993491535750537	1.5682831518358344	C2H6O3S
row76	172.0398	28.62	0.003169837199129615	15.608211046326732	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
row77	144.9783	201.61	0.6635727488481276	0.61730619930455	C5H6OS2
row78	172.069	192.36	0.41209461142433024	-1.1865768738608515	C8H12O4
row79	82.9531	34.82	0.30555563129505997	1.5374768548874087	
row80	82.9531	191.71	0.28014864763230896	-1.6623214255033352	
row81	172.0721	235.98	0.6640296759855432	0.6156496111566213	C6H11N3O3,C6H13N3O4
row82	172.0721	237.68	0.07919745766690445	3.9103048448359035	C6H11N3O3,C6H13N3O4
row83	172.5373	267.29	0.3860305852334076	1.2564568322110288	
row84	172.8276	1.56	0.016924678651793222	-8.010792800643468	
row85	115.0584	222.26	0.1732863837676919	-2.4832525820862457	C6H14OS,C6H12S,C6H12S
row86	172.8417	135.58	0.3061009152916551	-1.5341287629554186	
row87	172.8417	150.06	0.05199397918219769	-4.887606002755811	
row88	172.8717	2.09	0.23397146281653175	1.9861519099026528	K2O4S
row89	83.9298	168.56	0.23397146281653175	1.986767251734372	
row90	83.9298	169.87	0.23397146281653175	1.9497595495414874	
row91	83.9298	171.84	0.23397146281653175	1.99718865391239	
row92	83.9298	186.69	0.27799065656597255	1.6721069053913047	
row93	146.0272	132.43	0.03540216752436576	-5.857889155210561	
row94	116.0028	135.58	0.4834782754585988	-1.0031310467484233	
row95	116.0028	149.8	0.360043088252825	-1.3370601197957424	
row96	146.0531	210.97	0.4821452222839898	1.0065506072807424	
row97	116.0061	297.63	0.0008844783076667826	-28.095275599935096	
row98	116.0469	209.92	0.5902104378966049	0.7646000194875614	C3H7N3O2
row99	116.0478	209.92	0.277264362303132	1.6764701709080012	C5H8O3
row100	172.985	201.48	0.009471923865047235	-10.407007197921686	
row101	172.9907	25.73	0.005123292696363543	-13.26460983531816	C6H6O4S,C6H6O4S
row102	172.9907	27.57	0.7561382771744978	0.444087036457628	C6H6O4S,C6H6O4S
row103	146.0814	180.11	0.5097951376478794	-0.9385629257856358	
row104	146.8659	135.58	0.06404570892980495	-4.399355132259412	
row105	146.8659	149.8	0.46778725209454186	-1.0409015445347918	
row106	116.0936	210.05	0.4681496951085512	1.0392534567072311	
row107	116.0945	210.18	0.5437446666594486	0.8646420256532634	
row108	84.9502	34.69	0.2839167475722421	1.6413472969142948	
row109	84.9502	191.58	0.3099633491306588	-1.5147321232593332	
