massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row42	144.0738	34.95	0.933383957388087	0.7959320995681549	
row43	144.1021	151.01	0.9348344813319838	0.38328405096124246	
row44	115.0027	297.76	0.9348344813319838	0.41533513771414904	
row45	144.8687	135.32	0.9348344813319838	-0.37515286250328633	CaCl2
row46	144.8687	149.93	0.933383957388087	-1.4883822486024973	CaCl2
row47	172.0355	267.29	0.9791618799184755	0.0887589697324948	C6H6N2O4
row48	144.9724	201.61	0.9346666598275495	0.5572484636174633	C2H6O3S
row49	172.0398	28.62	0.9338403347924766	0.5837807824086333	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
row50	144.9783	201.61	0.933383957388087	0.9375168070305047	C5H6OS2
row51	172.069	192.36	0.9678892813819505	-0.1780782405873964	C8H12O4
row52	82.9531	34.82	0.933383957388087	2.3342955705012325	
row53	82.9531	191.71	0.933383957388087	1.2722737945453082	
row54	145.0477	26.25	0.933383957388087	0.5892419770324715	
row55	172.5373	267.29	0.9898282670394907	-0.035113077887553114	
row56	172.8276	1.56	0.933383957388087	2.375131830407712	
row57	115.0521	222.39	0.9348344813319838	0.5031513442935015	
row58	115.0584	222.26	0.9348344813319838	0.3794713159211181	C6H14OS,C6H12S,C6H12S
row59	172.8417	135.58	0.9348344813319838	-0.35281288150501566	
row60	172.8417	150.06	0.9969085999959956	-0.012278488239966025	
row61	146.0272	132.43	0.933383957388087	0.9669327820796683	
row62	116.0061	297.63	0.9592231103351953	0.21704889272564454	
row63	116.0469	209.92	0.9348344813319838	0.4272002866248906	C3H7N3O2
row64	116.0478	209.92	0.933383957388087	1.1414662498221158	C5H8O3
row65	116.0593	222.39	0.9348344813319838	0.46326991004644796	C4H8N2O2
row66	172.985	201.48	0.933383957388087	0.6089700058925622	
row67	172.9907	25.73	0.933383957388087	0.7615264544560758	C6H6O4S,C6H6O4S
row68	172.9907	27.57	0.933383957388087	0.8988299511866823	C6H6O4S,C6H6O4S
row69	146.0814	180.11	0.933383957388087	0.739577859184327	
row70	146.8659	135.58	0.9348344813319838	-0.38481174220306896	
row71	146.8659	149.8	0.933383957388087	-1.4520274217387878	
row72	116.0936	210.05	0.933383957388087	0.8783746327399164	
row73	116.0945	210.18	0.9736439392466579	-0.12908073698082065	
row74	84.9502	34.69	0.933383957388087	2.112411360168636	
row75	84.9502	191.58	0.933383957388087	1.5675933431229578	
row76	173.0083	254.89	0.933383957388087	0.6583088020190011	C6H6O6,C6H8O7,C7H7FO2S
row77	173.0083	259.39	0.933383957388087	0.9948026506964766	C6H6O6,C6H8O7,C7H7FO2S
row78	173.0333	267.43	0.9433299709269035	0.2987638159412999	
row79	147.0176	270.31	0.9346666598275495	-0.5348970115454881	C5H9NS2,C4H5NO5,C5H9NS2
row80	173.0376	267.43	0.933383957388087	0.6970408792299447	C8H10O2
row81	85.0648	36.13	0.933383957388087	1.48518686432253	C3H7N3
row82	173.056	233.85	0.933383957388087	0.6292757384929165	C6H10N2O4,C6H12N2O5
row83	147.0667	197.78	0.933383957388087	1.2050722959560833	C6H12O4,C6H14O5,C6H11O4
row84	147.0667	200.96	0.9348344813319838	0.5080990602958825	C6H12O4,C6H14O5,C6H11O4
