	Pellets_1_Rppos	Pellets_10_Rppos	Pellets_11_Rppos	Pellets_12_Rppos	Pellets_13_Rppos	Pellets_14_Rppos	Pellets_15_Rppos	Pellets_16_Rppos	Pellets_17_Rppos	Pellets_18_Rppos	Pellets_19_Rppos	Pellets_2_Rppos	Pellets_20_Rppos	Pellets_21_Rppos	Pellets_22_Rppos	Pellets_23_Rppos	Pellets_24_Rppos	Pellets_25_Rppos	Pellets_26_Rppos	Pellets_27_Rppos	Pellets_28_Rppos	Pellets_29_Rppos	Pellets_3_Rppos	Pellets_30_Rppos	Pellets_31_Rppos	Pellets_32_Rppos	Pellets_33_Rppos	Pellets_34_Rppos	Pellets_35_Rppos	Pellets_36_Rppos	Pellets_37_Rppos	Pellets_38_Rppos	Pellets_39_Rppos	Pellets_4_Rppos	Pellets_40_Rppos	Pellets_41_Rppos	Pellets_42_Rppos	Pellets_43_Rppos	Pellets_44_Rppos	Pellets_45_Rppos	Pellets_46_Rppos	Pellets_47_Rppos	Pellets_48_Rppos	Pellets_49_Rppos	Pellets_5_Rppos	Pellets_50_Rppos	Pellets_51_Rppos	Pellets_52_Rppos	Pellets_53_Rppos	Pellets_54_Rppos	Pellets_6_Rppos	Pellets_7_Rppos	Pellets_8_Rppos	Pellets_9_Rppos	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
768	1174777.5526919689	1945402.2290616804	1064682.2999830472	0.0	947968.6543767878	0.0	2187671.120040585	1081679.0994385027	2574381.9155465625	1232775.8863568003	2577659.8151654555	0.0	3005671.8878827235	2748604.1788006807	2067053.6751898346	2010908.6029206817	2584124.8093014564	3783285.5923574218	7076597.703750904	3644534.4984777225	3149819.825009613	2554596.344701482	1966888.3419613263	3060896.4550511073	4775661.469769037	3292011.8373864274	3013488.0273648812	3024288.7619368946	2863073.8467535856	4049209.744007849	1802759.074544167	3520096.7803298538	3548436.3482157774	2029323.0193652576	4870461.655880032	8001084.754920662	5262928.044598563	2144064.6834516446	3031661.298335545	3384687.7461380404	4971128.732333727	2716629.8494209703	4285410.852536386	0.0	3616265.9122287575	1462341.8683176322	2387363.5407831008	1744080.3719506431	924918.2850327484	1639735.089525274	3708609.6570058586	1287733.6588540731	0.0	0.0	F6439	278.9648	20.83	19.52	22.41	6340.0	161013024.0	1.0	0.93	11802.0	53.0	0.8888888888888888	False
780	4214606.453882946	2694851.9867082727	2899614.8850516197	2381420.9875737084	6812827.624508399	5199284.004213521	3783211.0059119663	5336348.84527307	3520290.1392568415	6422461.718438233	15502447.180076564	1617656.462981287	10955762.201306693	15205723.71932513	9083888.785543427	11726753.111977672	6458801.323639091	12286670.684887055	8942740.338004814	4699422.38461254	9844931.440808075	12728849.536332991	1522550.484840422	8416242.93782993	14433949.948466545	6919586.240855208	9767999.89281534	10383597.46262684	11112528.678585077	16537064.42607196	18087199.022537503	10329450.786076529	8653989.320602242	4694958.960110404	9893542.516320806	8837029.334085781	9923922.860380925	5136225.819113281	4025713.8239739956	2916738.5760784573	8809627.329750825	3261876.68067271	8221097.9618722545	10322445.24878112	5196806.317660419	3005184.1754918634	5917404.561257804	3829996.715985967	3264275.013175694	6415639.7136692265	4148956.2472720933	3705603.152444531	3438446.436079485	705347.3435665806	F6528	227.0419	22.93	21.36	24.51	4371.0	409606927.0	1.0	0.98	3460.0	57.0	1.0	False
790	2721929.6892249146	2901531.9783437834	3070368.883941949	2850925.166723084	3008915.1724247374	1878911.2385709574	1474541.0219303584	2993654.7626005085	2330533.6006397614	3241379.156219193	2298742.913115717	1613373.3781567644	2228372.2322803014	3416970.544856077	2206621.5330113913	1787908.5051057495	2800183.0974236894	2275579.3885736545	2692464.7329206015	2555542.8012905596	2466393.2036268935	1869086.2286657013	2767149.943031069	2728493.8230636404	2836449.2951335628	2609799.4514804743	2857836.613619745	2667845.8789691404	3225563.9155397927	1945569.492400743	1578460.238325294	2018788.8722955843	2805882.2256657686	2362017.689770539	2690251.048769644	2274186.388715368	3374234.7265649377	2113462.854406899	1923767.4387734963	2126845.371126959	2041406.7428338556	2342545.638810409	2114974.3948952924	2693072.582023073	2159600.69141254	2672808.8950260533	3287085.456427004	2633275.97058837	3575754.1843717806	2629516.582134712	1689092.9950123676	2285977.681152524	2943154.0582481534	2213289.506822399	F6570	279.1222	36.39	35.73	37.96	6355.0	155576554.0	1.0	0.97	106.0	61.0	1.0	False
798	2659384.4224969824	3110548.8311512293	3685894.264201543	8112711.043418896	6772366.347157241	13921439.260186136	720132.4502363271	2829000.439115943	11601769.309921592	1529934.6008345205	8387109.6528567495	1122276.2910726217	7058515.969359352	1405978.759187523	2036466.791070976	2822829.39219358	11518950.876262963	1855272.3722952562	6372028.162496471	1370845.921386928	10110486.24304939	9312345.266195493	1337690.8658902503	1640099.8357081923	8593682.323515808	871948.421294349	2394779.8540422064	1225484.982167326	3719771.044981613	5552294.765611678	9219147.895991761	7931647.0176643515	5391075.051159287	2097140.4419806236	2385025.959239248	2638449.218457798	6143402.529587329	11676132.642339624	4356075.803578831	3570678.080590157	8242787.721129968	9242842.943964683	7784544.481527783	4907123.580001045	571730.7344839625	2247168.43381351	3958591.7830852345	6615845.93303957	857564.2737934019	11654670.165089076	8962555.11327828	10207997.346985467	4004447.5229033483	1869117.8255202651	F6657	227.1753	0.66	0.11	2.1	4387.0	296595734.0	1.0	0.8	165.0	61.0	1.0	False
799	8571524.879274184	9196577.418108238	796807.5884095217	1347008.02398252	1197386.5284289909	681406.5273162328	1460033.8782431325	1748887.5456216773	1460939.5221673532	1374042.4344760834	1317335.3112536038	9354365.323804563	1139639.7686070388	1746486.9520570876	1340951.5825480346	320731.4438484251	1161413.5621648652	2066729.3089671226	8000837.422725996	2019028.3926997546	1365742.9090975316	941050.5716584902	9300042.330660354	900559.9709957063	6481324.325802919	3555045.80753863	5669686.83850272	3433108.6402681177	1397222.0382842876	7015367.351609804	859037.0908159121	890404.859971663	1117421.3402469403	6717438.236087658	724066.2910240603	2423216.4854902914	275887.79900583386	1812085.049590308	1194730.6407163367	1128258.4624309193	1273203.9745438441	1139390.5648022322	3092595.3384563387	789371.2833592299	7201562.363190088	627544.5860824919	1707087.0873868319	552325.5048943844	891506.3257001982	862815.3405295057	7209944.373698937	9135966.91272882	9138611.3524734	614520.7681064025	F6659	227.1753	24.51	23.06	26.23	4387.0	193205680.0	1.0	0.99	44.0	61.0	1.0	False
810	2092197.5012411396	501112.3086110506	572852.4389879359	2219048.772383567	998032.9621656451	1602330.198529752	479689.7406057177	2256595.181182701	1270211.391069878	0.0	1410184.6691041745	70718.74608378319	674205.6450228447	280034.6859172273	526859.6273044683	695628.0128056791	1029289.1672096186	237707.49039185175	487174.2005665426	618547.8038150624	1410040.7088955627	1186632.8679530483	445254.873244047	946091.6927126388	1801987.1454932245	152608.77741795185	619703.1243523016	1078231.3378576846	883181.7429819248	1211184.9971769387	1225126.4845916934	903357.9863386917	525960.510272631	1125848.5093727363	630141.5295325031	712337.9685655253	935537.4820949893	1289792.3920563615	1118912.3372042705	553831.7547212731	146774.70351219346	243975.1598741378	722299.2653736017	679649.4605676542	323181.34215583006	1037300.7560314969	511922.1418306015	568493.5249847202	601441.9128507446	1575788.5499323488	1192483.4650059743	2668794.7320982176	816423.5471767081	71158.1264011748	F6762	179.0815	0.66	0.11	1.19	2447.0	69151421.0	1.0	0.97	14.0	60.0	0.9814814814814815	False
812	14453482.537587047	11898704.432493828	13062497.130908607	14507966.898033153	9410472.176871581	9451195.675588258	10423870.33872355	11061628.227004247	10654738.672285635	14437342.894306758	11167183.405479837	16335438.038939431	12243008.257775396	11809308.091487918	13393860.467712281	14000910.650168845	13746150.150126876	4606293.60262186	7911739.984872668	8118194.371402484	5315100.467713163	13741078.03281071	14335628.889595807	3860081.888696581	7795050.951776081	6421737.053554336	8858652.714809868	5473397.857926355	8562650.299752869	7350574.965755994	7383560.692854397	14167616.799475355	13970089.083272642	7956065.529172831	9283585.162130194	9787951.803841058	10720638.128978427	10152945.855029998	15108950.142635237	10651080.537034921	12124923.248971682	12248992.69054429	15258596.334801806	9604376.627392126	8513187.598903822	12417649.349626204	15285194.62287527	12546688.861735811	12632551.29400318	13169326.209736602	10372990.420785917	13432137.919990024	11884568.18067684	9029935.669043552	F6843	227.9547	21.62	20.04	23.19	4397.0	640844240.0	1.0	0.98	9380.0	59.0	1.0	False
845	12997170.442406172	14055078.713216681	10116209.81029469	10592522.344227364	8919017.207230823	8106784.114213052	11101462.91679447	7399766.841821189	8806703.035772027	11029797.050193982	1886707.8720268055	15724979.660186382	2008430.9004554285	2310742.554214567	2449399.7401536675	2094518.1507549898	2189555.426135848	1625846.118721978	3316237.0856775916	2559692.402416125	1836232.8088638838	3508219.3464888493	14491188.635848444	2167944.6569147594	0.0	3195825.68060096	3198679.9266622392	2404383.770168151	3440741.7688537464	2941129.3522418495	1895173.527492396	3099384.2727604187	2848453.2823354797	7347682.639048553	3329281.7404031423	3457742.4505282114	2709101.077704679	0.0	0.0	1133098.8403037316	0.0	0.0	0.0	0.0	9219362.615975428	1694075.187629335	2131354.942707827	0.0	1630695.1779830526	0.0	8941832.297083613	12168352.992295232	12231536.275205448	15351488.132658457	F7158	228.2685	58.39	56.82	59.97	4427.0	294354261.0	0.74	0.97	23.0	50.0	0.8333333333333334	False
854	4855663.714950458	3638393.4437062433	3986673.1546728527	4650340.713909987	3047883.493552777	2920521.3942054147	3473937.2736794264	3828315.254549376	3665381.5869167903	4632193.090717998	3545570.867221878	5550871.333066587	4332507.245766312	4010443.3940771692	4380199.541942269	5016625.255099609	4709741.302104268	1104494.8513820514	2120362.937200399	2051523.810523037	1377561.1923335076	4515964.300816102	5329293.722947666	1039748.0739792446	2028210.901025022	1751221.2303237831	2819935.5297803143	1359757.6879363272	2093157.0820896004	2313611.001122254	1906581.2692494208	4795518.3893614	4875787.573756854	2422267.600746096	3003211.4908232135	3504622.805005685	4048004.5511056646	3366921.168529858	5084632.20596321	3103805.028971279	3959932.536490622	4116863.0473301634	5016603.213811327	2662835.7769746636	2579688.1933111344	3510049.914378661	4859798.512761404	4540434.91506388	4034071.8033566927	4346646.9675363125	3345917.2335504536	4563891.026591381	3982614.4478005124	3184693.8063048613	F7194	228.9556	21.62	20.04	23.19	4432.0	203749583.0	1.0	0.95	12311.0	57.0	1.0	False
867	51614242.127729766	28556714.529426564	36041299.370609194	36842539.10837569	48143989.34676174	35014837.109166704	29171053.77817356	29676078.974541347	33739723.7103552	66501185.85268728	45345691.52565032	40220129.03284983	61028378.20692381	62461723.143435866	63777532.89533662	63579198.53670732	66660523.648102954	7104067.60032351	13500655.498837693	23331897.80617685	8766021.11841223	33882220.59161464	31625025.992205504	7867018.710955669	16286920.908542387	14068919.620534316	20498128.938720293	5819379.344395103	11116814.069866626	7937362.396917416	17441781.857178017	33302792.10534811	35001573.63714307	10981074.339311175	7450288.299700382	11060729.262773287	15122192.414272508	74504036.43756236	139035571.10391903	97361034.33612919	47499948.39544411	58190750.365873866	71861999.75618558	59041605.5924555	9279203.326914191	48884074.73733576	80499506.32926613	29700392.192593444	27973412.86317319	39565520.85069312	22126661.98966438	55846803.23065159	39964729.64230916	30019849.65077564	F7296	280.2632	36.91	35.86	38.49	6409.0	877732399.0	1.0	0.97	14.0	59.0	1.0	False
868	42571410.21538812	27565550.617470503	22444659.22661143	21604735.70154705	19892429.998425722	19638649.91985385	28128936.089998335	19696366.72236672	19073460.998181865	29622267.773580167	19290384.4740641	47754546.27952261	28167011.424676668	46937770.47410094	48836929.56505858	35124720.110899545	31133722.785696644	4116078.899307785	7529359.805243698	10900431.608957928	4074020.9482127205	14502268.805195985	39629205.980121724	5998103.776395512	7081612.452499641	8157200.15628121	10711047.053604543	3226060.3214289276	5237874.182762878	3752407.4294157843	7816340.3179082805	13689320.602554902	14157537.105789093	10765020.237066781	5816488.942658359	6729498.853066241	6148962.870488395	33551204.86354785	76999388.81035568	53491619.30335089	19987704.837345336	26689644.34773419	30696700.45036695	29690407.76550889	12940923.10024088	30026594.1813937	39920920.9391166	13147883.425595632	25516278.82061736	18670354.893787324	12221100.754094264	30710699.25341019	26687665.398033537	38233037.032580554	F7297	280.2632	48.91	47.33	50.49	6409.0	561579432.0	0.89	0.99	32.0	61.0	1.0	False
890	9668035.913066408	9970628.922482647	10016975.093092201	9149109.128240554	9260877.45420822	7149030.1030561235	10165845.428863507	8921056.026571052	8049734.859984554	10013178.844933601	7866339.8962813355	10601304.7914011	7048128.618713612	9384514.834028874	9749194.76112174	8069769.510176196	0.0	6008863.958203686	9122782.48100998	6552731.97920847	7669132.417699269	8788787.871720187	8835850.67195237	6466654.974986749	8129223.14738016	6541985.810071903	8539960.339992797	7022204.108960934	8403707.74807379	8550642.362952601	9997691.969751203	10789534.15631574	10853954.383850565	9370441.974535832	11194610.995765474	10658570.399273586	10044928.839016225	10575739.536959037	9433893.472518396	7052799.802929635	7009934.0489152195	7452525.751654581	10870335.485876448	9842118.05593578	9849587.871540643	8646131.921388349	11469158.097828194	9226475.867747921	9340068.48430718	9437694.337821078	8596381.33986371	10226976.622269953	8750219.980356863	10849140.060453583	F7415	281.1012	30.87	29.25	32.45	6428.0	521367188.0	1.0	1.0	1810.0	58.0	0.9814814814814815	False
894	397829193.4574504	525770036.85501623	449028822.13498044	461414860.43208957	413160949.5569067	411223282.80708975	406509994.4537746	442180344.7573386	424223547.7739248	499696882.27346796	425939215.0041765	310237872.65709156	461201864.05290604	531366261.7554228	411405309.0753555	499941213.5031825	441585407.9509983	460976137.3897259	465312109.6526131	451838378.7866785	432688816.6227117	389634560.4783239	406925814.62614346	464103736.29562473	374548821.98103666	368321586.31464267	461270576.39716494	0.0	483175023.1721429	353040597.4543236	424339149.65518457	395833523.3378477	365023625.69299614	455345808.28606355	458877736.1892635	420428032.7275382	415732869.9029418	422989604.25528675	379013162.3466017	345964369.1386492	360446805.6843282	404595259.08564615	0.0	405532293.9300495	426288101.15727913	406963597.8539445	417647913.02164066	510133126.2417916	460692113.27797633	405331758.0352577	435203986.6770198	313608210.5451714	375989986.6091959	466091249.4535122	F7473	281.1379	34.94	33.37	36.52	6433.0	1422598672.0	1.0	0.9	27.0	55.0	0.9629629629629629	False
916	10211350.845084207	4849636.789226297	6823904.485938538	6198492.350484192	9187982.243836	6542348.935243446	5480738.677101661	5720521.8396718195	6059251.560691383	12744226.627440853	7946758.4471373735	7064605.243302492	11876629.387928493	11859474.358828217	11936498.864372535	12037864.848948939	11872981.793245044	277714.2179869977	2538098.5675740982	4021581.213362998	1237033.5719398228	6290692.962653552	5664912.109884064	573981.7839394711	2521564.284413367	1908198.4734611525	2978100.87673198	749271.2694157207	1589068.652873203	1251975.7908311523	2905923.8147070818	6154486.771985652	6103723.695372153	1370407.102289384	628351.7094803267	1778462.2984194055	2199515.7958037187	13428182.51559743	25690993.100953106	18077089.42177507	9234556.742354706	11681785.723048765	14261971.51021455	11278862.487899594	1277777.1629328171	9114214.164630588	14710733.293990312	5440844.03203329	5151775.502058171	7331541.374975569	4042092.629131748	10758169.271944206	6609390.900993371	5300182.375561361	F7690	281.2665	36.91	35.99	38.49	6446.0	390167836.0	1.0	0.97	39.0	57.0	1.0	False
917	7146623.565543143	4448678.486933946	3896012.1163326423	3600497.3120319406	3361355.9352442278	3363523.851769131	5056797.453808692	3277981.833433003	3274933.789006332	5240332.315177339	3499370.809140594	7772580.521167947	4978614.484881271	8395685.935268208	8628537.789545177	6290799.706413103	5802341.775054672	712137.3451284544	1416991.0063181466	1967522.4255757798	659951.6400543083	2640372.8723988547	7155432.165637929	1056468.856892948	1285122.4129845684	1352217.197773175	1946512.8113712515	563914.9639053544	858009.731619835	537678.395420639	1442004.1967829282	2312106.3122757366	2563484.6884133164	1407893.7425481596	1103912.724664681	1225796.9075693982	1088845.5119087172	6158320.8110706685	13885712.516467785	9668238.146272754	3544460.8244827576	4751692.627924341	5728780.366718444	5220331.832744271	1815170.3010513145	5329869.433596619	7280626.63705757	2487491.699839503	4482780.44266241	3381862.3712641643	2018862.8043869475	5457536.503960003	4780447.411438376	6767118.842259667	F7691	281.2665	48.78	47.33	50.22	6446.0	243833766.0	0.86	0.96	62.0	59.0	1.0	False
943	3530557.508493217	2565413.1338653513	3747277.215112431	3232192.579934025	4345804.650377193	3019434.5492311055	2896647.082821991	3015334.164067918	3290324.195399122	4264983.131999484	3101182.919365672	3423193.675552286	2844007.999456267	2813823.8008050406	2762944.627557843	3358536.9559245287	3653346.1544404887	1240436.873688117	2788550.652789751	2126017.2505489537	2207940.9260189924	3215646.7742170054	2898857.7559482413	1177653.7059113192	3259579.155992449	1691579.4515777612	1693334.0670289935	2147161.097655271	2352567.9155615745	2792037.5466099265	4131009.686728294	3984941.739434028	4113932.9732270082	3162211.819914657	2521314.512654155	3804831.3376562404	3996785.768874226	3972362.909205408	3708383.773197697	2480593.0879994542	3862584.931773338	2879022.5784404897	4339768.499474798	3262101.093241844	3364246.4007224725	2796420.7493133727	4134304.6101088175	3022456.5395589005	2777811.301568006	3060426.496700211	3523725.9612796386	4150991.4423022717	3098196.210813287	2922008.103707107	F7779	129.0698	38.23	36.65	39.8	756.0	182879559.0	0.74	0.91	14.0	61.0	1.0	False
944	5825726.27076869	6080570.909581142	5452832.529119732	4641553.7433313485	4300928.142729364	4474073.064642269	4879503.113169958	5930777.622157332	5522886.618540006	8146781.564524311	2921418.697084811	4015845.739602463	3069299.1033704192	3907339.2314473446	2644644.4435658203	4184529.17316477	1363582.451670571	0.0	0.0	1262193.4847081103	0.0	2677499.8071599323	3905793.420966167	0.0	0.0	0.0	0.0	0.0	2344456.822112661	3080460.6950036637	2077989.3670574406	1591951.9340212978	1513623.0927498797	2738906.931831292	0.0	2326785.8242373443	2742929.47428342	2026644.0697204126	3247580.013980569	2298583.2423857544	4432783.518994896	2763697.522452592	2242132.866388423	3549006.599751668	3880906.6187627623	2416617.35090435	3946182.27772948	3416297.7152354284	5453550.333006152	7306260.789064382	3614137.108293174	4226355.425138	5409998.645768745	3101453.0182610136	F7797	181.0096	22.01	20.44	23.59	2506.0	177026212.0	1.0	0.96	1784.0	48.0	0.8333333333333334	False
967	10485820.392129892	11774098.718687886	17500014.32482698	16783835.08374918	11119922.32555064	47052923.35475237	5310132.928941839	10771328.596558964	43301514.60076396	1503787.0524921557	31965162.94263416	4749912.19751992	41198213.50921395	5105680.172450117	4647337.20348694	9024301.522053687	48290974.923737854	6949425.642752539	14577935.086750584	6181631.957828108	45325474.089269996	31136325.3197062	6392874.344801272	10096794.603423867	33607105.494854875	2966572.1094605657	5524568.273780295	7195908.799208933	15293930.419401545	24227586.481702723	48201729.56790739	19933321.45643466	7443847.736935615	12573308.818804584	11621878.503569897	7737686.789769361	9440671.954730859	63298322.94445405	17248783.669431463	15672464.692402475	11481282.515126137	33273889.399503507	13391807.392876988	17141469.71563323	4371249.623225016	9117856.59960087	18246083.152862936	28015382.830129642	3436474.4640305405	44036276.29145143	30026384.55749681	33566542.66895511	12714973.853078378	8583819.568559894	F7927	129.1386	0.79	0.11	2.37	766.0	481155561.0	1.0	0.85	79.0	61.0	1.0	False
987	8887318.100420121	9428544.648251938	9623333.643474944	9861080.616108045	16380646.950603452	8400648.313091962	8418702.393464547	8659967.492243007	6804696.657275531	9321556.484200444	1815209.82437885	8175228.44188066	2259674.573716448	2654909.8518910245	3914061.645863939	2811836.592796412	2822043.3664618116	714988.6370139283	744469.4771116175	1257485.7969446792	0.0	2295491.1795845195	7617831.507916882	0.0	0.0	1905073.3282397112	1871027.5409064526	0.0	770998.4454085394	0.0	1949311.1815807226	3652633.427844934	3368422.319099732	8563458.931931878	2877036.669414767	2642215.442560275	2590887.420108769	2273461.251621498	3769485.892136019	2131877.55382198	2265130.464515147	2807047.0139794773	3138485.7975381073	2923442.591936802	7966286.884064401	3100174.0291157477	3898903.133050878	2275777.2882942115	3625851.4385413197	3380816.9803801356	8746635.530905059	10284152.267471254	10671742.874075096	474907.3143452915	F8080	283.0939	24.38	22.8	26.1	6502.0	254420942.0	1.0	0.98	16649.0	52.0	0.9074074074074074	False
989	22908464.66830357	23319713.930849142	23834357.566395752	22966703.299481437	15583020.133385312	13365887.96329581	16317037.592063747	15891644.728166198	15403585.310358694	18714445.525859386	15771994.337230217	26248905.145628277	14632939.655335069	18696042.141790245	17844260.213155106	16484699.019239483	14286877.681210475	13227601.036238812	17086173.30489771	14255532.764062958	15481491.559586568	18101987.62971022	21674890.952168535	13945862.172133762	16943792.562071964	14857982.35895255	16344113.674940314	15454538.322251793	18886567.181607082	17727717.997586053	30037889.136686888	25618983.949438583	31517926.14997718	24790645.12931508	32756689.710755862	28888063.625156105	26944401.771889936	27115339.14450703	26309833.63902615	20702729.33920127	29426396.402104333	21528656.552177608	30407371.827185236	25851647.24253259	25351694.81886947	24640165.05465165	28716834.377110284	25649828.187637325	26676762.95336634	27510938.79297749	24748297.306225397	23475974.274520777	22491883.105661806	274783.3226578127	F8082	283.1173	26.76	25.03	28.07	6503.0	1274971086.0	0.97	0.97	19429.0	61.0	1.0	False
990	31643353.24073407	31725503.90504223	31695312.543476406	31094119.22205282	20617458.16008834	18987824.526034962	23058669.231335513	22065967.96389468	20797791.0618729	25467401.29284173	21432499.647919055	30392990.173602555	19085013.072354008	23587427.426919684	22818922.757247277	22659078.00879649	20784260.528200455	17058261.320055585	22858013.944202315	18964502.257571425	22370500.834082823	23683896.016207024	30937026.046504635	18328795.643655147	25863486.180662178	20613102.981958974	22475031.130694844	20982799.55359294	22457198.343651503	24792047.326735843	38007912.909480795	38377761.04682737	37002301.45055591	33040709.877556514	40365474.48458367	38903802.24230626	40529430.13297004	33140953.67266688	34047597.36333414	25766862.98207746	36178861.60254073	27541102.79320714	37464900.33829125	33370040.120255973	32250508.12865012	31501538.596660044	39089137.73293136	30019366.921775676	33194192.254549015	32738018.950991444	31542244.788506545	31542350.2844932	30036011.771565568	24606562.94176252	F8083	283.1173	29.39	28.07	31.0	6503.0	1676845498.0	0.97	0.96	20692.0	61.0	1.0	False
1002	8076697.87875785	7348384.675268997	6737609.53788886	6722254.0129251955	10306622.6499084	9092245.044724118	11113191.803605748	9781987.295727547	9861929.9306397	11960256.477246331	8140596.049840025	9203104.45450094	8373941.443981797	10362340.608079934	10501451.104908107	9921327.855046596	9716234.971866554	4458262.129582355	6531693.286734091	5211443.287460463	4965820.187939497	8228800.00409177	7846116.560771908	5135171.3993993495	6352690.055944656	6169758.216071914	6165330.899863775	4933657.600513334	6110973.00793769	6442079.863281642	5920028.540805374	5380697.936989003	6333892.67670537	7082068.969715716	5910042.420548395	5891878.431877433	6193012.8052937975	5061142.0140923	5954921.600197208	4231659.767394404	5195571.703154732	4332969.762809918	6621798.528496897	5897227.148039991	7328943.139707203	5732920.001253004	7422542.73673747	5028185.040549732	5878329.780140836	6120860.26749206	7616932.791319733	8633432.03252223	7838914.143433764	9398838.288788399	F8142	232.112	44.68	43.11	46.42	4538.0	417378121.0	0.86	0.99	2475.0	57.0	1.0	False
1004	24848676.762068175	13087592.868913656	12685218.309647426	19031446.05863474	22187614.09310633	13687767.333631331	7473515.236294342	18384445.921249088	16645552.988635393	88639.46840681223	17302349.549611446	7380681.559481337	12517431.312893974	6389160.322287178	8853068.578587174	11087489.388603037	18450492.599682596	5669051.208465085	9733398.762113485	11072529.684467785	22682433.280651323	12898102.12372606	9378090.42917305	16846233.778693352	21434660.41708328	4306613.854266476	3397929.492597942	17296335.53057091	1662267.0876754737	14448593.227877172	22963368.152452745	20403335.854046803	11609094.52128586	15837251.412182366	14460818.645055478	0.0	20714610.86992233	18713914.985374983	11161769.527598962	6528217.206039978	3998213.4015760175	16387887.54168281	28479662.176590715	9627302.834096335	9231183.014269728	10772910.773750847	9804437.92267768	8863889.008848578	4043804.1908309488	21182144.459378783	17263918.811723456	25831900.97489665	13807156.08060214	17661379.098952703	F8163	232.1189	0.66	0.11	2.24	4539.0	454947020.0	1.0	0.92	58.0	59.0	0.9814814814814815	False
1011	8659941.700868208	6657603.073922479	2836047.9165922822	13763368.792335734	4881000.819097133	13837705.154083649	0.0	5299219.511579213	16438350.932751527	0.0	4964327.58237757	1221111.4431799403	5468306.836328839	0.0	2980359.1714935233	5762276.952552078	7444245.6825092	1044967.585911531	8210795.95585146	2736148.360189124	16114942.333389841	6718462.617112127	1947813.9674860965	6574907.129961202	14889806.81687406	1069957.5911872375	1783548.8616334596	6321236.191432227	6393819.921511621	9720448.333672134	5822871.198207178	9133362.618669884	4435175.580549204	7939838.948646316	5080023.777282152	5262973.034496003	7960884.139323396	13593793.166099377	4908414.077730485	4204593.736359386	10056182.910872705	13777817.12255454	12422667.229982523	5860274.769776063	1778094.2104302563	4958191.229396118	3514749.293325633	7791983.596217085	0.0	17255627.2025999	13610041.922125751	16351479.101408489	5413831.414111925	5070959.58755477	F8197	232.1447	0.66	0.11	2.24	4544.0	393186211.0	1.0	0.9	234.0	54.0	0.9259259259259259	False
1031	5868594.133473203	8209483.32055274	6048167.902095955	6771176.817330632	23049830.04029425	15254223.510173814	8900004.392257337	9335513.71649652	9217255.378563123	12612278.207198076	5921856.755520066	2401759.613894006	4763438.0562487515	6185049.579354432	5454907.046658393	6554022.449163036	4292930.052324449	1230674.2544156206	1878848.3047795566	1744599.302045564	2338244.4495649333	5382085.988298364	2195427.3490020917	1696041.3029608354	4382375.354903722	4179460.6342651877	3363374.4184488924	2893162.950359564	3733275.420800858	3194016.936828463	4917735.546984115	3546527.888752045	4512643.8570529325	8049727.720667974	2479043.1253939644	2535975.309766551	4138371.373437633	6132083.084345582	511556.3179938535	1396831.9075806667	5570549.4758011615	1729324.682119505	2902909.941252605	7918226.449753944	9995223.79839823	4271543.579015281	4416081.669516673	3255742.8479691795	3037347.009933191	4301993.397280245	11485240.671728544	8741740.989720637	7554286.084228526	4143427.391361206	F8375	232.8965	22.8	21.22	24.38	4558.0	317099291.0	1.0	0.97	874.0	61.0	1.0	False
1032	1202543.2713131893	840783.332110065	712398.1301311904	1172452.1941245182	1017060.8355975357	682338.6480083562	1162437.0928802758	1487663.4855723472	928578.5972181737	972917.9372598034	1246951.2543307922	841260.7199105386	988863.1356605195	1011369.2226199479	1339326.5381013495	1207895.2854466983	1292784.8040094096	1272814.4144931384	1394663.9789809946	1172745.6370222569	641657.3131325017	1559362.866002571	689161.4018759906	862433.7863794812	1253660.60165013	1328113.0756803988	1289512.3012241859	1356082.9335655507	1318887.3841031683	1395829.1732675058	1281270.6191891935	1085180.9230904642	1315108.8325005744	798360.246485112	1197548.6175245612	1441613.140045739	1370728.7586166158	995696.9432403907	806462.8002351049	833047.1348380498	1029550.8806200075	690937.6049851818	1240149.0764834702	577512.9410774714	759997.7804655335	1007931.8862806436	987509.4967171133	1298667.2508727969	1003522.7398617521	935052.2662782781	687636.7844840791	711026.0447622512	574535.4679348301	1116923.5234073594	F8381	232.9173	20.04	18.47	21.49	4562.0	62861539.0	1.0	0.98	101.0	56.0	1.0	False
