	Pellets_1_HILICpos	Pellets_10_HILICpos	Pellets_11_HILICpos	Pellets_12_HILICpos	Pellets_13_HILICpos	Pellets_14_HILICpos	Pellets_15_HILICpos	Pellets_16_HILICpos	Pellets_17_HILICpos	Pellets_18_HILICpos	Pellets_19_HILICpos	Pellets_2_HILICpos	Pellets_20_HILICpos	Pellets_21_HILICpos	Pellets_22_HILICpos	Pellets_23_HILICpos	Pellets_24_HILICpos	Pellets_25_HILICpos	Pellets_26_HILICpos	Pellets_27_HILICpos	Pellets_28_HILICpos	Pellets_29_HILICpos	Pellets_3_HILICpos	Pellets_30_HILICpos	Pellets_31_HILICpos	Pellets_32_HILICpos	Pellets_33_HILICpos	Pellets_34_HILICpos	Pellets_35_HILICpos	Pellets_36_HILICpos	Pellets_37_HILICpos	Pellets_38_HILICpos	Pellets_39_HILICpos	Pellets_4_HILICpos	Pellets_40_HILICpos	Pellets_41_HILICpos	Pellets_42_HILICpos	Pellets_43_HILICpos	Pellets_44_HILICpos	Pellets_45_HILICpos	Pellets_46_HILICpos	Pellets_47_HILICpos	Pellets_48_HILICpos	Pellets_49_HILICpos	Pellets_5_HILICpos	Pellets_50_HILICpos	Pellets_51_HILICpos	Pellets_52_HILICpos	Pellets_53_HILICpos	Pellets_54_HILICpos	Pellets_6_HILICpos	Pellets_7_HILICpos	Pellets_8_HILICpos	Pellets_9_HILICpos	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
1546	575428.5688391408	831300.5163421463	1027875.6766983373	1309898.6611864713	725764.8420077326	1220872.7796693803	575052.6826186388	892122.6453120444	798736.9725643664	0.0	4666233.04383295	889419.0756310486	4971755.049258909	3261748.4145193323	3691392.6140074246	4485216.530442148	1197916.262717222	8307614.350740094	8114687.814751146	4136981.5381330336	7013225.3933581915	4323556.975922891	448435.69879192655	4240164.008368968	8050677.160239815	4767939.352320678	5158248.549004323	5089960.779928054	5734585.146531965	7431346.084277141	3393598.471689699	48845.254309490745	60669.79117957404	1801297.6187390033	6110015.088304296	248053.30928091166	3297030.4804555373	3543548.0301589468	2245064.58007426	2517106.8297628267	2207014.288369263	2121539.858282027	2281295.5053518103	3446334.431838335	1390611.0645626863	2206117.604427464	3120512.243427833	74586.12553466024	0.0	1213873.640772289	1262900.7555745116	522531.2699821749	973260.8343502017	428772.2496188259	F9052	166.0145	366.97	365.39	368.55	2488.0	157850153.0	0.91	0.99	86.0	58.0	0.9629629629629629	False
1552	7155945.7542574555	5500502.045126663	5937046.082283271	5199954.262693747	5273442.340006185	5293570.351456365	5601529.527988696	4628681.926805544	4609558.42611471	4780019.20309555	5747005.988030281	5505526.598675019	6193890.652480153	6514030.025856466	5833024.881465835	5634101.220795432	4839140.503509857	4860375.565564396	3792727.8444298175	3724583.756255467	4008644.1995466202	0.0	6363842.574864711	4255382.170999006	3714585.5038586254	3854693.409186473	4062225.908703646	3682429.1546413098	3423952.5457883165	4219471.648265422	6595004.247352698	4998132.537414884	4240414.433629077	5891071.043033644	4385286.337278245	4880934.497724371	4717693.555299192	5351037.390176822	4342431.22661136	3890629.726080889	4499091.500665207	4703706.975278223	3543363.494115306	5635741.006330696	23433.29163593076	4595168.9150111275	4890610.628131832	4367757.72881693	5070269.56340565	4911513.698118281	4968253.906702356	5303419.9732863745	5928829.7438690355	5545016.104504375	F9085	121.0649	26.49	25.18	28.07	1166.0	331834957.0	1.0	0.93	94.0	60.0	0.9814814814814815	False
1562	4501390.206189471	3350452.3683550414	4322779.2615787815	3643821.75431183	4030785.050586459	3703996.754738216	4160461.1892826897	3157625.9544024365	3886781.4731000657	3835493.756891507	2213177.9502238953	3469179.8619617573	2711577.0877544708	2495056.8303488074	3217572.754492022	3004077.518886565	1685987.0613844364	0.0	707551.264151872	961518.1149417072	0.0	1421570.0332169815	3962179.205816582	0.0	0.0	0.0	978865.776593023	0.0	0.0	0.0	0.0	1354984.3677217062	1294506.169317915	3481232.93985369	939948.379250782	1263587.9173159685	1165253.4753502938	1855119.3161721013	2173707.2799601	1561296.4067340964	0.0	2228041.480002598	592990.0372182569	1644308.2425315117	35035.15601807452	1675026.346133108	1636901.230113626	1791286.8689461977	2482840.183296553	2159168.584472051	3718071.3659500997	3825310.7694010437	3991254.205565479	3398903.967900526	F9158	166.0697	27.54	26.88	29.12	2502.0	158913525.0	1.0	0.99	1088.0	47.0	0.8148148148148148	False
1572	740837.6879850437	596851.4559568547	0.0	0.0	0.0	0.0	109552.23453248599	299645.456219243	246897.01553296266	0.0	2388863.1533715194	455105.957934347	3020823.9126074226	1705309.2095889742	1734309.9795115474	2330520.261272643	1278471.7848151645	672668.4869904218	1069538.9386215247	2296620.930910966	670541.7003948306	2145559.5608779374	342879.10030150175	397828.53151671204	1138878.3444954026	780855.2902110659	1322717.2576485826	909015.3697612998	1298834.626842023	1711640.7419595732	2762641.9018756845	2070694.7186155706	1645711.4819785901	0.0	1857887.640965978	1723855.582758208	1320156.4361456363	3745569.9072788353	3884914.0482144197	1360970.0582814338	3680804.804387559	5076083.134039866	3153413.8055401165	4288068.439537387	0.0	3025523.281477179	3423000.96525654	2753872.027049351	4126890.2964590183	7675476.094471583	0.0	554180.574349719	530465.8640527822	421313.5014608879	F9222	240.0953	308.08	306.64	309.66	5539.0	91691597.0	0.75	0.96	12.0	50.0	0.8518518518518519	False
1573	590177.9793857174	527389.6601486877	0.0	0.0	0.0	0.0	830716.7087000826	701595.430264898	478489.0146470829	0.0	10331448.564775487	646110.4938969043	14758535.999006553	16605696.631793566	11270853.717194375	12207899.260166252	4434060.283085509	1906412.97556053	2731608.862878549	6354124.23504394	2406844.0725833257	8325798.0330573125	573705.4595325297	3116875.4152605035	7934520.909016967	4033728.7884333245	5511807.677876743	3938972.535155052	5226186.986330913	5971900.9657438565	9180733.82375166	6355963.985318897	4911552.167726601	0.0	7244842.053961434	7722090.866404418	4649256.365849273	14024330.959549751	9569386.006788045	2784058.0534988535	5589072.3992402265	11100629.03772955	10546112.53075451	10785938.673259621	0.0	9409497.561864115	8324260.037316611	1093091.0227789006	14183768.986036364	22166477.53753327	0.0	208840.97016773577	506421.43641900603	351363.86788527836	F9224	240.0953	317.8	316.22	319.38	5539.0	283775625.0	1.0	0.99	77.0	49.0	0.8518518518518519	False
1579	998203.0385770277	638262.7946641262	876572.1405302581	674446.0891231262	521244.121625803	583534.8284305147	703383.8695318912	905735.0090519013	736404.1302114711	525636.8485689927	1902703.389850794	721749.1511615254	2104277.0567043927	2466280.2564373557	2601451.565957778	2109534.6328608436	2140682.50068321	2509102.0240802504	3053483.1006863457	2286421.462175083	2731802.48605233	1454001.9359209544	788578.5277689975	3107032.3487677006	1267605.8252177404	2446969.9238662105	2300769.1596162184	2826629.7960981713	3187254.1487909206	1616879.0413315129	2205916.022120554	2410531.2411380038	2222936.0527482363	790717.4623692617	1866064.3960065087	2039282.937453702	1678769.3865869301	1328159.4439403822	2059386.2270288826	2123273.9283397766	1407649.4133730847	1418600.8900156214	2266466.5422141966	2125131.961463325	972117.9495570748	1769728.181098207	2106771.683564758	1621417.2201327079	1036290.450864426	1488886.8801143614	918798.49596115	471527.54851903714	430142.5012980401	791219.0420052257	F9237	121.9697	207.82	206.24	209.26	1181.0	92225985.0	0.81	0.83	2524.0	59.0	1.0	False
1580	818720.6042383123	643800.535971903	1218422.5973022457	957586.6209189631	639199.4581771661	877422.589996535	1243853.661076944	756682.1399257205	613372.2941129386	707673.3731648885	1260207.1271409388	1382868.1097458992	2146660.469866309	1849846.2266109046	1667610.822167484	1768506.8306990783	1440442.6437532613	1932712.7433653392	2156644.905421856	1946466.653774609	1433745.6473897856	1675080.9335618848	744273.8060546975	1709013.6962383615	2908301.768999713	1858867.6612083723	1628668.6071039236	1389179.8681444796	1680645.752747796	3051197.4342264286	1578926.2119545336	1373884.4194384115	1112447.9584286942	835448.6929044477	2479049.4302224847	1302929.8126874785	1176240.5216879335	2480990.931160197	1603234.5465627683	1503850.0109985988	1583569.482749998	1360815.9944012181	955080.337201442	1950784.3863906388	1180731.9576518792	1491361.8727186886	1988139.8014695533	1412558.57837974	1415168.1751116007	1212298.8580188693	647369.2948743295	740641.0390100139	841489.8398265294	994668.0326538725	F9238	121.9697	211.76	210.44	213.33	1181.0	86370712.0	0.81	0.95	3156.0	59.0	1.0	False
1583	492708.8773200442	356785.59242712025	497554.9589606556	330312.733854698	298355.272551342	328658.14027567906	429266.3712122715	497025.98735979386	398719.16002491873	239963.3429033637	835144.3440588429	431739.4335082688	1014598.8634084469	1290842.3222993547	1184927.6221176137	1171542.546097575	971355.0781445173	1346809.9792009084	1463814.4702326586	1106772.0632323795	977431.3818021156	582416.1248052086	419217.35327013093	1612322.1067039187	670161.4912509453	1070426.3462110092	1168957.1321394169	1111363.6981248287	1129699.6397578854	643937.9693593682	903374.2795755889	892735.6933482918	679116.2708149009	619333.6129800407	1086790.4777005434	1313367.5902150373	515789.5037073722	497162.7928184286	686073.1453218034	861811.9062244254	575115.9244383762	679046.6954615515	465440.4166093503	1286372.9790101335	536800.2360521529	557967.5370386073	1017267.8337816055	605655.4375157666	675142.3592573324	761634.1497511171	367200.45167518855	133193.36491384293	398757.03655039845	348708.7685103386	F9243	204.9673	207.16	205.98	208.74	3790.0	42965343.0	1.0	0.9	257.0	57.0	1.0	False
1584	246082.97154617854	196989.10714074867	344944.8090006295	320125.64214279415	65966.30833327408	154980.74068496792	272679.12645871047	469722.7028409535	328621.04478815367	219212.05193876874	657586.4881480504	420767.0162351907	1247999.7396991672	1409820.271926837	1400593.3062499652	1163631.8861456632	1037587.953911658	1640966.7835443409	1677576.600217467	1136961.2439101085	1187048.3083745844	677884.7337630704	310262.8604829939	1468087.8544824333	1551991.9376342688	1662615.5708685613	1476449.624814454	1317774.241834747	1280934.3995364276	1629936.9954160412	1009985.8544714224	694927.8951618449	228572.60219483828	253378.00691343046	1034717.9274274542	833663.6548408596	612968.5380039082	776186.4851445179	698715.9921135905	712318.846834857	433732.016132943	452683.1341620071	755517.4272718343	1139652.619732091	330741.4558090036	935868.4199515237	979400.5310948453	1007668.9698144116	642981.4956073321	591013.9612656616	213850.92672886673	238968.8836902138	296161.9132177144	239112.73826048317	F9244	204.9673	211.89	210.31	213.33	3790.0	42903978.0	0.98	0.77	264.0	57.0	1.0	False
1596	249494946.97409526	272791448.9532136	283615236.96207005	280188441.6369252	330056148.8756624	296605855.78652674	319079218.18417084	301162374.4195445	295844015.0603486	319493086.46896774	131956066.66323018	239879116.57874015	141039685.036332	142270996.97350642	175178584.712967	161510619.1916392	186037219.0463002	122900110.00143628	163598351.58541632	202593801.03726417	155677567.79344788	125242497.80480185	260016435.6675732	182400837.77047676	111386390.49256155	167678915.9805651	176666539.1243182	158903301.6006668	170285304.49881303	134798368.34582788	152238605.48600918	167359407.9854063	179952626.74299553	290237217.62803364	166557936.73062786	179981367.75109223	157779353.9436087	146575191.08109647	190167312.4779078	215989205.88936555	174264981.33611226	201607751.48633474	165398249.00301167	194070337.01911443	305617831.2463383	227504210.38983357	200086280.43355733	214582466.31826591	222123613.21264297	144918431.9955001	301828840.0457571	265324114.59342015	273291233.28574324	285460220.9849239	F9347	122.9246	209.39	207.82	210.97	1196.0	1975069668.0	1.0	0.99	2060.0	59.0	1.0	False
1599	4173512.407672586	3789289.927486758	3410427.710847545	4096168.4878276386	2463327.1373395524	2485625.2599326307	3891677.8097614464	3901369.43575585	2687155.5499068303	2824546.475200022	6639287.6746053705	4026176.9319240395	6822255.442002674	7859588.885453807	8828030.855808105	6918562.164645654	7472607.585197001	7472664.592886915	9069809.075020507	7981193.8818547735	9172426.754575353	3274154.542314987	3471258.391445013	9494936.92710891	3023852.066010846	8380600.085855698	8993880.880729655	8714300.997751344	9514134.189298304	4304373.793029259	7687661.202185991	7068660.701280881	6739333.53909127	5329650.80213987	6031438.765329045	7949269.69713367	7031378.518870988	3506721.6255667848	6530649.980997616	7668377.434180482	4422060.118162359	6329457.838830507	7303131.747984323	9018682.53425382	4682107.83325386	6431626.077071621	8063015.066896782	7269694.588180729	5493538.793314442	6984049.170225463	3495957.300584637	3192596.955175292	3828032.61893853	3508297.6068543587	F9350	122.9645	207.95	206.37	209.0	1198.0	362123618.0	0.91	0.94	840.0	59.0	1.0	False
1600	4464564.496772848	3945614.5174421244	4601346.734667819	4256921.809269181	3929547.20768101	3697552.152199197	4342648.699097691	4501988.904840045	3804631.7881781375	3784362.0856790324	9583117.414411161	6041399.809937298	10039500.123639267	10943251.862977406	9126769.180222012	10216539.189767338	8578807.01853765	11413231.531090533	10348533.671424592	10569066.75576512	9541423.763393339	11806330.269005569	5029851.690242152	10605369.142253697	15087051.941089762	10132086.42110914	10307486.739775337	10091681.627962511	9700337.963525822	15320078.007646823	10363270.040893812	9179678.436549911	7680873.066085951	5926864.0320743825	12225991.883659652	9811784.307783503	7053539.823110969	12354316.50299636	9145978.868817972	9387184.742688889	10788023.99898402	7566750.558208824	7358527.506205269	10119521.129974065	5325199.9697716255	8811112.060128987	10108576.704033237	8104180.5765169915	7606810.7365735555	8351705.863624035	3812703.898801056	3513739.364668212	4880465.819200524	3426656.7314359103	F9351	122.9645	211.23	209.66	212.81	1198.0	476150623.0	0.91	0.95	1317.0	59.0	1.0	False
1606	27307116.066271715	26785896.582042906	28294885.530366365	25667091.655202623	22346679.709134676	29491581.36072385	28238183.973093588	27332880.41198908	31700549.024971	33562865.13551192	1774317.0598626256	21795338.098439515	2853142.7163393763	2405238.7164384793	4452233.088602032	5177700.82337229	3218549.301268514	1210241.3523691788	2456325.13250345	2044787.3605773535	0.0	1180728.6073970199	23036243.972478535	1881056.8665871075	1014579.5006814394	2121799.0914181536	2128172.222347584	1890323.8150716259	1592186.3428043842	1642996.1906329794	1654524.1576594156	1831280.6497319692	1872997.3261559354	19961784.26231559	1783661.2715298499	2199574.302331331	2383953.147053359	1517822.497010417	4373740.77271558	2814178.505131073	2460604.213150535	1107330.2859059724	0.0	4070269.446787895	19554361.357432876	7024581.324546478	4259370.168831805	4159836.065059624	6679203.736263252	5105036.443679422	18618672.76791613	28365837.839840196	35988110.293171994	39453413.71485432	F9378	166.9506	208.61	207.03	210.18	2520.0	1095392928.0	0.75	0.92	30053.0	57.0	0.9629629629629629	False
1609	14550168.816961588	32002184.97531961	57564374.96578627	55964589.16317856	50414927.92631983	20626838.563508686	50836747.22674178	39153329.80883418	20227066.20419623	61937052.642552674	88158901.07633135	40415880.627372704	88276305.5512754	156820418.31167352	187043992.0852441	168216643.4498807	87045132.36598566	33113713.29611862	81054798.96296582	125593192.34132552	34400310.9161351	49633411.57463238	29678772.779557955	70764867.19274107	1707625.3764837713	62648006.35764797	101580230.50641254	63512474.542973585	99362443.89504889	0.0	94128431.43341397	82124881.870921	93499041.70591466	31927519.415047508	75912261.38343526	127738518.2244657	109268444.00955977	53917196.88784846	55977764.46002932	100346262.16689454	74085931.1350144	100668350.64425254	95789667.3740222	120314045.10262752	49914530.282169275	168025566.06159294	73105181.820224	129893487.0903827	150916209.01810142	118935246.78181356	28868832.8809612	36652719.07542785	38620285.06513418	7207360.44474646	F9383	205.0682	197.41	195.84	198.99	3808.0	1823829664.0	0.95	0.97	92.0	56.0	0.9814814814814815	False
1610	22513556.428078625	6667697.627729945	16299280.131258793	22675333.399877287	14306737.8404672	19626520.002069965	16285539.767266944	4037530.1520768865	8391583.99499652	15271182.805042908	24597597.783843417	7263504.955114458	25278283.282176875	23244846.259423207	34929861.03507155	45712660.8772958	31455451.672815233	16185368.368608873	14414791.480059601	16191647.569000838	11018726.83584578	26852331.113165084	6315103.206521161	13629791.651017582	11480005.409631371	17430563.563557655	12002090.294872927	19116678.975708164	19472123.70462288	17334870.305253424	19567903.836992435	26993617.68874935	31198819.826660536	17646212.115451865	27201019.720222294	19252897.25642027	33515480.031034205	41772615.316168554	21946516.689752124	43238511.55009752	42340174.842509545	58236187.02928989	41515026.22215125	24083792.310476378	5122213.470203178	17480023.262251023	28986151.609510712	24063659.84962332	45585751.24708122	57895722.3896214	21774137.603595324	12915281.446801849	15451438.481525432	13189060.926399762	F9384	205.0682	215.73	214.12	217.3	3808.0	567839443.0	0.79	0.93	11.0	59.0	1.0	False
