	Pellets_1_Rpneg	Pellets_10_Rpneg	Pellets_11_Rpneg	Pellets_12_Rpneg	Pellets_13_Rpneg	Pellets_14_Rpneg	Pellets_15_Rpneg	Pellets_16_Rpneg	Pellets_17_Rpneg	Pellets_18_Rpneg	Pellets_19_Rpneg	Pellets_2_Rpneg	Pellets_20_Rpneg	Pellets_21_Rpneg	Pellets_22_Rpneg	Pellets_23_Rpneg	Pellets_24_Rpneg	Pellets_25_Rpneg	Pellets_26_Rpneg	Pellets_27_Rpneg	Pellets_28_Rpneg	Pellets_29_Rpneg	Pellets_3_Rpneg	Pellets_30_Rpneg	Pellets_31_Rpneg	Pellets_32_Rpneg	Pellets_33_Rpneg	Pellets_34_Rpneg	Pellets_35_Rpneg	Pellets_36_Rpneg	Pellets_37_Rpneg	Pellets_38_Rpneg	Pellets_39_Rpneg	Pellets_4_Rpneg	Pellets_40_Rpneg	Pellets_41_Rpneg	Pellets_42_Rpneg	Pellets_43_Rpneg	Pellets_44_Rpneg	Pellets_45_Rpneg	Pellets_46_Rpneg	Pellets_47_Rpneg	Pellets_48_Rpneg	Pellets_49_Rpneg	Pellets_5_Rpneg	Pellets_50_Rpneg	Pellets_51_Rpneg	Pellets_52_Rpneg	Pellets_53_Rpneg	Pellets_54_Rpneg	Pellets_6_Rpneg	Pellets_7_Rpneg	Pellets_8_Rpneg	Pellets_9_Rpneg	id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	percent_inclusion	blank_filtered
3360	27618851.01381132	25150697.88408569	30356990.886776954	31957215.709464204	24967493.80065347	24733612.425043374	30976115.291695677	29675270.393796418	30846281.120715972	39039058.62123374	7759769.851995123	28175979.121166844	9659842.407778952	7056785.163585423	14763980.501090543	9285339.634237006	12135351.39780355	3322531.4602140263	3192219.209741049	6615449.881878969	2064282.155044637	11055078.491751414	26503885.465653755	3355084.3957177894	3308049.454190999	8247792.848365963	6174945.4808932245	4352645.131391416	5385794.848407345	3269223.4346242794	2571448.2274703407	12866475.947241966	12579169.886358988	17847665.51903117	8025729.732388268	8101214.277275252	9530793.18216747	6308752.583023239	11446931.229830287	12651042.495939722	8716552.963132774	15489087.449664999	13672006.3180324	2123123.000686304	13911805.339479068	10673415.897281377	13140498.834653014	10712443.31342199	10991795.89745495	11812863.235106602	26593072.276774436	35853795.72144015	33103762.029151734	40027019.20833626	F25354	468.8968	22.54	20.97	24.12	9295.0	815906573.0	1.0	0.78	57697.0	59.0	1.0	False
3369	1250710.291941631	1461168.817002814	1636311.0328842204	1512386.9896715793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1372222.5456105957	0.0	734124.6846909268	1005165.6932018419	1050532.9943402235	1367496.2389407265	1272067.3665472309	1428731.2143111688	1184378.274253611	1206538.7651595052	0.0	1284341.6063439164	1515715.1420600472	992808.7933628525	977991.1995347898	971009.4211070826	1787325.320029597	1421034.4268546475	1683884.8546113984	2234249.5717783403	2173540.8142042193	2212285.0021475283	1966197.9956709172	2748206.7006521923	2133836.9301611604	1697762.074397769	1435553.1188098309	2132501.0760479406	1695046.9238455272	1512717.4540862308	1305994.7165119962	1853271.3617591714	2271937.011308098	1967864.9223565662	1361634.6579855636	2402996.4396463144	2375519.2588415304	1408429.2337836307	2020923.8750442492	1446292.4935610804	1489370.6750068984	1715682.278974741	1991492.456482457	F25429	517.0768	26.9	25.43	28.47	10428.0	77271296.0	1.0	0.88	5827.0	48.0	0.8333333333333334	False
3381	1441332.9332829793	1239965.6808640584	974793.5558241457	1698112.1710114512	2130635.9989959784	2108305.8836651375	1667674.4984278765	1285748.4480586909	1694807.2760262727	951152.3039897119	2510831.583606148	510775.4831885426	1844650.1480612424	1268674.9006814053	0.0	1686902.8084671397	2584287.9665273884	1739663.4960502558	2062145.4983592187	1936481.744623551	2533221.0385623174	2935268.328918105	584011.8004246952	1791498.5669043285	2231020.6485158834	965023.9447589114	921788.0078983168	1712006.0470657523	2490018.408412343	2809753.0513418945	2568622.1023515807	2684653.8717114916	2566305.920502733	1691887.0848715897	1445147.8218799534	1142701.1321957556	1774186.4626041737	1680199.698363077	1443135.6940458952	1079329.7132591736	1177319.7180788184	2217173.852333342	2275108.6911361725	1698129.5794221004	1543957.122869298	735245.4653857661	1567995.055954243	2254397.663904116	814985.9407467295	2810222.685573813	1824898.1910473092	2498361.9395068446	1198935.3201173213	1047412.4981695975	F25460	518.1428	193.81	192.24	195.39	10445.0	95719430.0	0.95	0.88	62.0	58.0	0.9814814814814815	False
3389	4394328.622997437	4961591.073713861	1523710.8829925123	1292869.2410609457	8426078.290380854	5371343.490202012	2501860.358256719	3855976.7665542983	2779397.120775376	2459840.770322141	3411767.4127961444	1082351.212642373	2174603.6768397195	3236536.447700907	2914879.2171352035	3838265.6065324387	1650541.367299719	1604852.1792343934	0.0	1728479.476885738	0.0	2547129.693659758	2163992.7258235933	3416829.8808636777	1592931.865839246	1859563.4385239205	3576063.746284914	2341978.5329631567	2225580.4398295768	1591383.2630497422	1477016.8451118693	931037.635143485	0.0	2442942.6060333815	2079016.3794518718	0.0	1885237.5379244199	1709559.8975415917	0.0	1315507.471933239	1142368.9902774699	1655396.6582290141	1292148.306372194	6755661.0795029905	2532991.43539231	3443629.4696944645	1494473.8125036447	2716911.403581665	3818469.8852930805	1802674.275584095	2049183.8774899617	1593245.3766817027	3865421.240561564	2823379.0973169277	F25517	361.0016	24.38	22.8	26.11	6879.0	126938155.0	1.0	0.99	10204.0	54.0	0.9074074074074074	False
3403	5881372.866864186	4557837.603756293	2634773.6645973544	2963748.246393964	1970825.668780189	1556674.2643987285	2424401.046706856	2685127.4295776635	5894058.09610592	1913105.057485342	7296968.161239596	3042430.1125124036	6153864.032586422	4211225.375181088	10546056.850444352	4866881.49339935	8720425.060079608	12056297.266717685	19065499.18543818	16320160.68086588	8102890.3180399975	12274320.408297015	3015601.7041844274	9573468.436959144	5636322.422640105	11657793.125505187	6724110.040347166	5414652.350766033	9806508.09135093	6157857.512111003	3030879.244946217	13639250.729289873	11265069.226235589	2404361.823216396	8210418.7969193095	14067157.300640207	9842128.642910194	6423327.378822245	27281548.09579963	7594651.163062499	8758729.895989515	9109719.031443523	9795317.274726052	1723912.0078637819	3265169.79654064	4985269.062977657	6531278.945933008	7590145.836223843	4493334.525698607	17663193.74094506	3777322.625425927	1470975.113127011	1129604.451853072	1391028.545700394	F25564	469.9132	21.89	20.16	23.46	9322.0	421728755.0	1.0	0.96	35716.0	60.0	1.0	False
3435	381182.8016654314	199600.6613878618	320174.46263198886	400418.05952560477	386681.3148054862	468497.61766938906	315093.726004119	126773.26445676935	227406.0587303041	111852.6824557445	258996.21008111222	157879.96128815846	370715.60447617463	216122.6678087705	0.0	425026.4099878924	180415.47054366203	324460.89245423686	276992.3859399998	368498.49299484293	286692.1468507187	380324.9427378542	192960.3986087797	226901.10931141506	633192.5991737917	0.0	354851.0607370095	419959.41911694326	506639.56139957637	287062.0764064948	486783.98798947124	500674.94499056385	373710.0151310321	226964.50159596853	304705.0574488114	310221.7986731818	246597.0522343304	381530.97336975153	307806.5861346273	168510.22888644563	97840.01116553397	256461.36393099348	267911.36240016506	255904.42459600174	219573.22562946088	329955.8416210657	299781.5168655701	624068.1074763329	362901.10232757585	154060.21189357838	161298.0074718121	387157.6176172779	491575.0617469424	186624.53762691942	F25720	519.2135	202.27	200.96	203.72	10468.0	17321712.0	0.74	0.93	13.0	58.0	0.9629629629629629	False
3476	46226691.7011374	46189033.78117544	49975706.08512436	66820055.42326686	34773400.43612738	37272636.44482261	45853859.022642925	52466381.404706694	31973780.769650776	56309258.586571865	49552829.79732112	54783311.555888265	44952915.84024555	29898544.180438705	39570442.333153166	31618843.4598053	53686720.81145903	41450724.6611256	32436885.306479767	42651891.731539145	42836654.10919201	38653342.45258721	44595370.84889144	23331808.74370799	45096326.43327863	30137157.718435932	46394649.62625695	42417970.812863514	35466584.07278817	48330409.34525692	29323355.83704999	52083012.46786181	57496178.644346505	55260983.46799279	40841942.85581746	23479395.93782929	34474735.63678094	43314534.344964065	43263393.37888147	37938005.911599845	43346661.682781376	47655624.29542139	44688486.266975656	9122772.48437803	34464191.90885163	31018354.157717388	47906554.624679014	56610313.0767869	27131632.889929995	47101214.787152134	37657384.99390497	49951285.429958574	53262444.07748368	49935711.66061871	F25969	362.9409	20.42	18.98	22.02	6913.0	1272466419.0	1.0	0.92	3043.0	61.0	1.0	False
3477	29213891.21661579	20239633.455100447	25712960.21054765	33614166.12161783	10654808.31191956	12381124.102259895	17176858.05682123	15981864.416435633	28415358.19657313	27758830.56530778	25744780.99052994	46790470.76317236	26238812.41613516	17613061.99718216	26271571.150177848	22480100.04805288	31821083.086810157	12852140.006163577	10129325.24920567	18818025.347851317	15944696.13936162	27602973.26277468	33942665.99286023	11068867.38921469	16306473.567168308	14200599.351738678	21360031.94032123	16696132.876412686	15248397.7313946	17083130.69570015	10355309.053409522	28969507.909542155	37272601.48952772	18405440.59735455	21744018.68274787	15314914.960353239	26133461.94468604	22697758.74290635	28877787.114187878	29591769.74420857	27472808.72436569	31426097.040294442	34172362.96525878	30955148.139032494	13757982.416894132	27338050.83861926	35546378.99143742	41355924.27444094	25676649.69159247	27471584.998271782	19225412.437007055	31035698.926592816	34891487.75136546	26652925.48521884	F25970	362.9409	22.8	22.02	24.38	6913.0	689596231.0	1.0	0.99	3043.0	61.0	1.0	False
3479	152084704.94293702	111143612.40157887	136012172.2774386	149483395.5060621	74660868.88644542	81489225.5626283	107731180.94393641	114481205.36836885	80002666.78993684	112962225.85014011	114694198.70539443	148903287.53013545	145617114.81151766	106221164.42409678	155135789.01425976	141743570.17484748	158817055.42589304	47439426.94240344	60162682.99494819	93321420.89625604	48917623.80644148	160067914.22535613	121902190.92809403	65912296.345142074	63972086.4337236	92700882.42533746	96739278.31744215	78700427.69916382	100950139.86699428	66213579.84983541	68518722.83836594	150241243.62905338	158914362.02479467	90885564.10568318	100632932.62683159	107955024.50462261	118295092.1402902	109229173.896045	150338124.2340841	161562082.69429374	116795956.42793459	191738457.89447188	182541048.7740438	30872207.481190633	79507888.47845776	137007156.27278295	168830899.12893322	148056595.07110438	128260798.85035427	160483646.86842304	112820499.13493618	143333207.91016182	108372049.02853784	143169874.657567	F25989	520.9102	20.97	19.24	22.54	10500.0	1355060731.0	1.0	0.95	99999.0	61.0	1.0	False
3480	2561403.352220182	2547785.288830283	2953349.5845680176	2815710.6298280447	3145951.666675869	4012170.0696532126	3654016.2548684506	3219960.199642484	2591568.759329915	2407312.687891344	2894039.919863076	2666021.368124735	2523763.1088843658	2590628.0963410977	4264870.688200876	3091462.5196092897	2647293.110637182	2979658.8660220234	0.0	2154533.240133046	2968673.656607582	3293727.1679325276	3051969.3068503067	5424454.678303984	0.0	3205320.5150047173	3163676.1855278267	2833361.101515549	2595949.795701724	2960123.1457121037	3707824.969732105	2414138.5299116354	2747698.5136874965	3537710.595804841	3516452.9581847363	2707238.145124846	2717044.58168742	3564120.696140044	2886973.2226467663	3938765.7113358537	2725953.1256308784	2635097.333328979	2368609.2858764688	3242111.8273892086	2479915.345076165	3496649.943257352	3067748.865882058	2615071.6564686964	3536890.5545021156	2867454.134521839	1917892.0449196338	2021822.6519480178	2224017.6883048182	4801329.22113611	F25990	362.9701	28.21	26.64	29.79	6916.0	171851940.0	1.0	0.99	2999.0	59.0	0.9629629629629629	False
3493	24395256.98065586	18640262.287183367	22540078.990037866	21335373.80164939	18765199.906064525	18055882.05976229	15926493.413721751	13871703.950604476	15692459.838572148	13617500.055898836	12712291.200970503	20231790.506299082	15595522.1934826	10339706.151408684	335537.97517426265	15739865.778278138	13258711.917170685	3173629.8569857995	5862756.079351115	10148957.43970281	5592286.969285142	13896374.249420226	18070173.933142405	3594020.7906818986	5393747.3925065175	1897407.5583564702	6782228.750927768	1973478.6330652714	4914049.745466205	5183029.662079238	8914096.32752862	10999176.06496292	9723443.33531232	10549153.353812829	4636132.35568549	4493972.345456703	3234336.076755951	14825368.80460319	23129086.5603207	20433316.616665073	6558672.025344666	14184946.536889201	10355402.02976162	26377911.74672684	8556537.085506823	10018832.728877153	26123261.968005277	11656250.42594455	9830082.38345937	14549078.060056949	13991283.895598516	27177911.62093014	29429390.496064365	31586108.949379284	F26232	472.1765	193.03	191.45	194.6	9368.0	817335244.0	1.0	1.0	4966.0	59.0	1.0	False
3503	0.0	0.0	0.0	0.0	698836.4825912336	918362.097589863	836970.3734550988	1431144.5654205582	0.0	1434000.3188178386	1949343.9764184232	976519.663383497	1230371.4642571323	717147.0646854651	962534.2632950823	866522.5794806852	1742675.4852102594	2119335.306691716	1722572.044387434	2098234.478164245	2374449.952270691	1478685.6647664397	0.0	1028804.7909439617	2674106.8118387195	1335029.539459217	1747171.4091025905	2214283.0843199776	1793777.385767724	2627828.0640977225	1160115.104193793	2022262.6295438153	2539142.1927477242	1510089.3813163103	1844924.5893129176	1050529.100551098	1817373.8705668969	1140110.601268719	1166371.0487523135	993325.9958808887	1725762.187429634	1083062.0700572953	1710158.9633231147	0.0	0.0	834275.3802267257	1320976.9248620863	2168892.373626686	604814.5513080173	1582886.2374344121	869800.7351339824	0.0	1082141.5206441947	0.0	F26285	472.9169	20.29	18.98	21.89	9375.0	68360005.0	1.0	0.93	7386.0	49.0	0.8148148148148148	False
3511	7533723.038933668	7463658.833372679	8097955.678383435	11100751.094890874	5870793.330948857	6406754.624352008	8015047.621459846	9120620.59302573	5667237.7034928	9480032.364169668	8130325.556987656	9217239.791185182	7789165.204886517	5110776.270508804	6661760.630325209	5149061.707060996	9313869.730234982	6757132.162022942	5406054.223913913	7023677.880017672	6881890.939299166	6500172.149349285	7602279.438930524	3892940.5786219724	7455189.426261352	5079205.482085513	8138756.184385992	7356236.142453641	5580807.761857447	8248910.500961556	4564278.102976518	9039883.232569883	9536227.03796516	9080869.765718032	6982344.066682659	3964932.069044551	6055985.096582922	7087125.903038643	7162909.448914359	6009280.193251225	7233835.429214685	7976547.808725184	7597606.252344464	1731115.4395000557	5830583.574764434	5099745.400091365	8263123.73005604	9626904.834690671	4827639.259541277	7870113.663558935	6318093.707123949	8595896.7941837	9151573.828214498	8558731.305634102	F26293	363.9427	20.42	18.98	22.02	6939.0	402863942.0	1.0	0.92	31921.0	61.0	1.0	False
3512	5032826.105480821	3420353.76616924	4312297.592332976	5467696.912697874	1447924.1880308876	2064455.3119105145	2811323.8589066495	2903469.539721828	4816614.330289095	4781447.467807167	4356608.909145353	7848714.664658607	4350570.472754068	2790172.4613085506	4573545.719958566	3722856.9782013474	5005286.675267705	1927418.4213127545	1662700.6026067403	2980034.58218743	2630888.775287585	4453403.834249445	5800226.718138745	1867876.5397530168	2507941.508329279	2202530.218390836	3350233.635434347	2572484.942645205	2378123.541849643	2608865.7907293355	1464364.0814780523	5064824.645647421	6235342.426657875	2973632.5926719224	3441312.4665899198	2678116.6703165215	4683452.388412015	3487497.6700728554	5088150.693724659	4925907.874655083	4847361.209031562	5080610.456176718	5542550.281815573	4682284.835233698	2249149.5038435315	4515210.661347508	5981120.664219323	6568342.6907502655	4233603.037686471	4569042.717377424	3164904.656339358	4981101.276987459	5799312.2540534	4527308.010213784	F26294	363.9427	22.8	22.02	24.38	6939.0	214621089.0	1.0	0.99	18846.0	60.0	1.0	False
3542	2680185.7166146957	2828942.0021325685	2429317.0473920545	2626408.6194239785	1653721.1604561454	1908685.725717342	2449564.3947281195	1553481.6995435162	1746485.8828250358	2027553.4818611953	2661527.0084087765	3463238.670000598	2656234.7617259934	2679298.6418788796	1514731.5337376546	2319452.260308361	2226856.5242142575	2254220.9762173644	2593620.7488731677	2142957.8468029676	2764003.8302118364	0.0	2794650.0452306494	3190532.65199714	2039882.5958997626	2482154.9805190004	2973825.3355849166	2380360.686873376	2606687.6856762813	2486983.677063183	3588560.311589316	3741293.31254624	3424546.207827138	3133834.9382602237	3704109.178624784	3489284.6298489035	3361063.003395365	2882640.9953903146	3330674.6054586763	2311380.7762093428	3085010.83885201	2536283.949011288	3310746.3377762665	2215917.3560183756	2579124.7544907476	3412340.83450076	3191089.530657412	3522563.557253955	3980039.9707226907	4130345.1245342954	2269022.375382229	2585607.203019507	2500981.7665702105	0.0	F26476	521.3849	255.76	254.19	257.34	10520.0	153224233.0	0.85	0.95	1082.0	55.0	0.9629629629629629	False
