m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
569.3604	186.0	0.03547403455816955	-11.692055583012444		-2.7636978232242697				
762.4686	160.68	0.03223373378131038	-13.046633236672962		-5.318068025559455				
596.5969	440.0	0.005736509337582847	-48.47809678615711		-9.086832470722364				
776.4824	230.65	0.028439235750629416	-15.53197633964996		-2.398188737595767				
777.4857	230.65	0.03199800215209628	-14.306244136645564		-2.448754430954633				
672.4194	209.03	0.0476046299647093	-9.539462609280774		-2.720648372727272				
731.3086	182.29	0.04861832939872156	-9.371203271916926		-0.19765586528795254				
731.4244	230.65	0.010313722224031024	-27.298675961174155		-2.9305210675940288				
732.4276	230.65	0.041198826551758404	-10.680124503512364		-3.210068339868819				
865.496	276.07	0.04238686298934087	-10.43124361497228		-1.6796981445954842				
